run	T	energy	magnetization	linked_overlapp
1000	0.811132228610414	-884.9022631258212	-32	0.072
2000	0.7547171290921875	-1160.2260007798138	-22	0.17066666666666666
3000	0.7547171290921875	-1253.6931010294106	-30	0.15466666666666667
4000	0.811132228610414	-1325.1949796837007	-20	0.21333333333333335
5000	0.811132228610414	-1358.2188519174863	-24	0.24
6000	0.7547171290921875	-1384.0426590344787	-24	0.24533333333333332
7000	0.7547171290921875	-1399.7892511922146	-30	0.2613333333333333
8000	0.7002097865625	-1430.2136272489697	-6	0.2693333333333333
9000	0.7002097865625	-1443.0714229891275	-16	0.25333333333333335
10000	0.7002097865625	-1460.027226532625	-12	0.26266666666666666
11000	0.6475456875	-1459.7880824152348	-8	0.252
12000	0.5966625	-1479.8239491823676	-32	0.30533333333333335
13000	0.6475456875	-1475.4313808349505	-36	0.24133333333333334
14000	0.7002097865625	-1496.3509434378288	-26	0.288
15000	0.6475456875	-1502.4936880468108	-20	0.31333333333333335
16000	0.6475456875	-1495.406635138634	-32	0.2826666666666667
17000	0.5966625	-1503.8676132500282	-26	0.30133333333333334
18000	0.5475	-1513.323083919483	-30	0.312
19000	0.5	-1520.9678075571485	-20	0.31466666666666665
20000	0.5966625	-1524.8463613494216	-28	0.284
21000	0.5966625	-1534.1160250565233	-26	0.30133333333333334
22000	0.5966625	-1530.7359507265926	-18	0.31733333333333336
23000	0.5966625	-1532.543143476557	-16	0.32
24000	0.5966625	-1514.3152519437276	-22	0.312
25000	0.6475456875	-1524.9730823367295	-30	0.392
26000	0.6475456875	-1527.875428496884	-2	0.38
27000	0.7002097865625	-1534.8708679756612	-8	0.33466666666666667
28000	0.7002097865625	-1534.10258736914	-28	0.316
29000	0.6475456875	-1538.0564183266097	-8	0.284
30000	0.5966625	-1535.6213645481678	-2	0.29333333333333333
31000	0.6475456875	-1539.768927355382	-6	0.3586666666666667
32000	0.6475456875	-1529.9912628410104	-20	0.2946666666666667
33000	0.811132228610414	-1530.8253874145794	0	0.32
34000	0.7547171290921875	-1530.1252695973865	-6	0.3453333333333333
35000	0.7002097865625	-1535.025439607684	4	0.31733333333333336
36000	0.6475456875	-1539.5291423883248	10	0.30533333333333335
37000	0.7002097865625	-1536.9913663441223	-2	0.3546666666666667
38000	0.7002097865625	-1542.9678902719681	-6	0.312
39000	0.7002097865625	-1540.8695292571292	20	0.38133333333333336
40000	0.6475456875	-1545.1081317359851	16	0.32666666666666666
41000	0.7002097865625	-1547.7833963979174	18	0.36
42000	0.7002097865625	-1547.7860304734188	16	0.328
43000	0.6475456875	-1540.171341390604	18	0.312
44000	0.7002097865625	-1542.3400263366414	8	0.3333333333333333
45000	0.7002097865625	-1537.306464515344	-10	0.34
46000	0.7547171290921875	-1539.4558573246075	6	0.3373333333333333
47000	0.811132228610414	-1528.3232205759998	-12	0.328
48000	0.7547171290921875	-1548.0723585189437	10	0.356
49000	0.7547171290921875	-1541.7575789761986	22	0.3506666666666667
50000	0.7547171290921875	-1551.5152283345453	32	0.344
51000	0.7547171290921875	-1541.5932742395103	16	0.3293333333333333
52000	0.7547171290921875	-1540.873065360872	42	0.33066666666666666
53000	0.811132228610414	-1536.5775068863113	22	0.30533333333333335
54000	0.9299551215931907	-1531.0068414350924	30	0.3373333333333333
55000	0.9299551215931907	-1531.7214968356225	30	0.316
56000	0.9925035508489524	-1529.3012496648219	24	0.296
57000	0.9299551215931907	-1524.158677682165	24	0.2986666666666667
