run	T	energy	magnetization	linked_overlapp
1000	0.5	-900.1992245432461	38	0.07066666666666667
2000	0.5	-1148.240279493531	-22	0.188
3000	0.5	-1249.1646250146705	-12	0.21866666666666668
4000	0.5966625	-1297.2362239061956	-26	0.18266666666666667
5000	0.7002097865625	-1359.643018782704	-56	0.24266666666666667
6000	0.7002097865625	-1354.749611830578	-28	0.23066666666666666
7000	0.8695218566117785	-1382.3653706889959	-40	0.23066666666666666
8000	0.9299551215931907	-1389.792100645113	-42	0.24933333333333332
9000	0.9299551215931907	-1389.2109931643345	-66	0.21466666666666667
10000	1.1935931778272049	-1379.7548004713929	-52	0.25466666666666665
11000	1.3396568519179477	-1368.1919752843414	-46	0.23066666666666666
12000	1.3396568519179477	-1382.6395647634376	-78	0.23333333333333334
13000	1.265368939051157	-1385.4291039042334	-46	0.23466666666666666
14000	1.3396568519179477	-1384.492712977873	-48	0.26266666666666666
15000	1.4165448417350759	-1388.8453821420103	-52	0.22933333333333333
16000	1.4165448417350759	-1370.2232871351011	-46	0.236
17000	1.3396568519179477	-1347.3924293854825	-28	0.22133333333333333
18000	1.265368939051157	-1365.51570390506	-34	0.2853333333333333
19000	1.1935931778272049	-1359.9582451286137	-10	0.20533333333333334
20000	1.3396568519179477	-1369.7636391054675	-18	0.25466666666666665
21000	1.3396568519179477	-1401.8883422925821	-12	0.2693333333333333
22000	1.4165448417350759	-1415.7733719968983	8	0.23866666666666667
23000	1.3396568519179477	-1405.8150705293651	-22	0.24666666666666667
24000	1.265368939051157	-1418.0650792694732	-20	0.264
25000	1.1935931778272049	-1439.519615194957	-54	0.256
26000	1.124244616258169	-1427.9868512256755	-34	0.26266666666666666
27000	1.1935931778272049	-1446.1763143640949	-30	0.30266666666666664
28000	1.1935931778272049	-1472.852974249424	-36	0.2786666666666667
29000	1.1935931778272049	-1480.4543875921024	-22	0.30133333333333334
30000	1.1935931778272049	-1492.0774954710596	-2	0.292
31000	1.124244616258169	-1487.715375470647	-20	0.34933333333333333
32000	1.0572411751286657	-1500.7413086795234	12	0.30666666666666664
33000	1.124244616258169	-1498.2709292211337	0	0.2866666666666667
34000	1.124244616258169	-1484.4543038660543	20	0.31333333333333335
35000	1.124244616258169	-1495.7285459893208	14	0.2986666666666667
36000	1.124244616258169	-1496.7769621811829	0	0.31466666666666665
37000	1.0572411751286657	-1504.1312442318545	12	0.316
38000	0.9925035508489524	-1519.690733964126	-4	0.288
39000	0.9299551215931907	-1531.2018741099096	20	0.3506666666666667
40000	0.9299551215931907	-1540.694746571825	-4	0.3333333333333333
41000	0.8695218566117785	-1566.6518277919884	-16	0.328
42000	0.8695218566117785	-1570.9140241741293	-8	0.332
43000	0.811132228610414	-1575.2661620985175	-4	0.30666666666666664
44000	0.811132228610414	-1580.0012735392665	-8	0.37466666666666665
