run	T	energy	magnetization	linked_overlapp
1000	1.265368939051157	-900.1525961903875	8	0.11866666666666667
2000	1.265368939051157	-1153.2334635624438	4	0.15466666666666667
3000	1.265368939051157	-1207.4743296687707	4	0.14133333333333334
4000	1.1935931778272049	-1281.4566729734938	0	0.21733333333333332
5000	1.1935931778272049	-1321.3883930748204	2	0.2
6000	1.124244616258169	-1335.3311717151375	4	0.20133333333333334
7000	1.1935931778272049	-1343.3344629401138	-14	0.21066666666666667
8000	1.265368939051157	-1348.51763849494	0	0.228
9000	1.3396568519179477	-1329.4406630370231	4	0.21733333333333332
10000	1.265368939051157	-1326.8179152447715	10	0.21733333333333332
11000	1.265368939051157	-1352.5402356627874	4	0.24666666666666667
12000	1.265368939051157	-1349.6442026276345	-8	0.22533333333333333
13000	1.3396568519179477	-1339.6992440231488	-8	0.23466666666666666
14000	1.265368939051157	-1353.8341731268094	-22	0.23866666666666667
15000	1.265368939051157	-1360.7764417789192	-46	0.256
16000	1.3396568519179477	-1361.5927718795183	-32	0.216
17000	1.265368939051157	-1378.4529175175699	-20	0.27066666666666667
18000	1.3396568519179477	-1367.8682357069374	-36	0.232
19000	1.5784882480876568	-1371.894168389369	-28	0.236
20000	1.5784882480876568	-1325.0315683439333	-46	0.22666666666666666
21000	1.4961239111958036	-1318.137907091034	-18	0.19466666666666665
22000	1.4961239111958036	-1345.2394914699905	-2	0.22666666666666666
23000	1.4961239111958036	-1370.2431589944506	-16	0.22533333333333333
24000	1.5784882480876568	-1347.5705278723353	10	0.30266666666666664
25000	1.4961239111958036	-1373.4286648516747	22	0.2773333333333333
26000	1.4961239111958036	-1355.6229357183845	24	0.2613333333333333
27000	1.4961239111958036	-1378.8744481147874	4	0.252
28000	1.4961239111958036	-1366.7249192508	-30	0.2653333333333333
29000	1.4165448417350759	-1357.408050571814	-38	0.25333333333333335
30000	1.4165448417350759	-1379.2265119565602	-30	0.21866666666666668
31000	1.3396568519179477	-1382.5952743938424	-22	0.236
32000	1.3396568519179477	-1409.3971631035663	-36	0.24666666666666667
33000	1.3396568519179477	-1381.2923364908816	-28	0.2786666666666667
34000	1.265368939051157	-1422.3549144981002	-8	0.31333333333333335
35000	1.1935931778272049	-1442.8516303781907	8	0.25866666666666666
36000	1.265368939051157	-1444.4171153272307	-20	0.26666666666666666
37000	1.3396568519179477	-1458.1144804237429	0	0.308
38000	1.3396568519179477	-1430.0184038127431	8	0.32266666666666666
39000	1.3396568519179477	-1418.6585819059078	-2	0.26
40000	1.4165448417350759	-1382.190704979206	-34	0.23733333333333334
41000	1.3396568519179477	-1430.8054276176813	-40	0.25733333333333336
42000	1.265368939051157	-1435.7861324511478	-28	0.27466666666666667
43000	1.4165448417350759	-1430.3443335864104	-2	0.2866666666666667
44000	1.3396568519179477	-1449.0692115048748	-8	0.24266666666666667
45000	1.4165448417350759	-1438.5899691254283	16	0.2773333333333333
46000	1.3396568519179477	-1407.956611764532	8	0.2986666666666667
47000	1.4165448417350759	-1411.1654348645297	-12	0.23333333333333334
48000	1.4165448417350759	-1412.4595461706015	-4	0.25733333333333336
49000	1.4165448417350759	-1419.3992359077959	-10	0.23066666666666666
50000	1.3396568519179477	-1428.622357183192	-18	0.26266666666666666
51000	1.265368939051157	-1445.4354749397996	2	0.30133333333333334
52000	1.1935931778272049	-1449.8112921692164	0	0.31733333333333336
53000	1.1935931778272049	-1462.17613475791	-14	0.2946666666666667
54000	1.1935931778272049	-1485.0981014445554	-8	0.3
55000	1.1935931778272049	-1475.927831692143	-10	0.30133333333333334
56000	1.124244616258169	-1478.997584989061	-30	0.27466666666666667
57000	1.1935931778272049	-1470.971230815296	-18	0.284
58000	1.124244616258169	-1473.1591096805487	-8	0.27066666666666667
59000	1.0572411751286657	-1486.7101412626703	-22	0.33066666666666666
60000	0.9925035508489524	-1510.294982290956	14	0.28933333333333333
61000	0.9925035508489524	-1526.083339586195	-8	0.316
62000	0.9299551215931907	-1538.1457998770134	-12	0.32666666666666666
63000	0.9299551215931907	-1558.5604382175432	-4	0.31866666666666665
64000	0.9299551215931907	-1553.2708875625303	6	0.36133333333333334
65000	0.8695218566117785	-1559.424067488291	-2	0.37866666666666665
66000	0.811132228610414	-1545.8510436823672	16	0.3546666666666667
67000	0.7547171290921875	-1565.6762744002883	22	0.3466666666666667
68000	0.811132228610414	-1570.8076942520954	14	0.3893333333333333
69000	0.8695218566117785	-1554.4868950247944	16	0.348
70000	0.8695218566117785	-1539.7927051485926	6	0.33866666666666667
71000	0.8695218566117785	-1558.6471253599177	8	0.30533333333333335
72000	0.811132228610414	-1561.4701261144362	-4	0.336
73000	0.811132228610414	-1559.7609143219318	-4	0.3413333333333333
74000	0.811132228610414	-1559.646594518264	6	0.31466666666666665
75000	0.7547171290921875	-1561.133335247678	-10	0.30133333333333334
76000	0.7002097865625	-1568.4782506892213	-14	0.336
77000	0.8695218566117785	-1553.446160178806	4	0.37333333333333335
78000	0.8695218566117785	-1544.5743061408093	-14	0.31066666666666665
79000	0.8695218566117785	-1549.8749480038275	-2	0.34
80000	0.811132228610414	-1557.9081689602026	-34	0.30133333333333334
81000	0.811132228610414	-1550.531173215805	-6	0.31466666666666665
82000	0.811132228610414	-1548.3042820984417	14	0.32666666666666666
83000	0.811132228610414	-1547.798933832114	10	0.32133333333333336
84000	0.8695218566117785	-1545.6694399211194	10	0.308
85000	0.811132228610414	-1567.9084082131765	22	0.3506666666666667
86000	0.811132228610414	-1565.3655039594216	36	0.296
87000	0.811132228610414	-1561.3216644006404	8	0.36666666666666664
88000	0.811132228610414	-1577.4530215490909	14	0.36
89000	0.7547171290921875	-1567.7258484393549	12	0.3293333333333333
90000	0.7547171290921875	-1575.890714417533	14	0.35333333333333333
91000	0.7547171290921875	-1569.6472698866996	18	0.36133333333333334
92000	0.7547171290921875	-1569.7313415491456	20	0.3506666666666667
93000	0.811132228610414	-1565.6382829418305	30	0.352
94000	0.8695218566117785	-1568.3116264383061	40	0.41333333333333333
95000	0.8695218566117785	-1572.126991785328	16	0.36666666666666664
96000	0.811132228610414	-1566.4810692899039	42	0.30133333333333334
97000	0.7547171290921875	-1570.3163977560564	34	0.3626666666666667
98000	0.7002097865625	-1571.314644635546	24	0.3333333333333333
99000	0.7002097865625	-1585.1070613537577	22	0.3426666666666667
100000	0.7002097865625	-1583.4868573590154	8	0.36666666666666664
101000	0.6475456875	-1582.7639704230214	18	0.32666666666666666
102000	0.7547171290921875	-1574.024384536005	16	0.44666666666666666
103000	0.7547171290921875	-1588.7652804358224	12	0.37333333333333335
104000	0.811132228610414	-1577.7237112876967	6	0.344
105000	0.811132228610414	-1578.1729030120514	14	0.3466666666666667
106000	0.8695218566117785	-1568.7710388935147	18	0.332
107000	0.811132228610414	-1585.184962743244	34	0.36933333333333335
108000	0.7547171290921875	-1588.244078459235	18	0.328
109000	0.7002097865625	-1593.5490512461577	28	0.37733333333333335
110000	0.6475456875	-1598.6659211295814	32	0.36133333333333334
111000	0.7002097865625	-1596.403520658122	32	0.3933333333333333
112000	0.7547171290921875	-1587.6521013160063	14	0.376
113000	0.7002097865625	-1603.405684835235	16	0.33466666666666667
114000	0.7002097865625	-1604.7267329395413	20	0.392
115000	0.6475456875	-1604.735988415369	26	0.3933333333333333
116000	0.6475456875	-1613.4100836387604	22	0.352
117000	0.5966625	-1608.0974276661361	26	0.3973333333333333
118000	0.6475456875	-1606.9671666659438	34	0.392
119000	0.5966625	-1603.9824838647774	30	0.39866666666666667
120000	0.5966625	-1603.243022894837	26	0.38533333333333336
121000	0.5475	-1610.8030582845483	36	0.35733333333333334
122000	0.5475	-1617.0112085237731	32	0.39866666666666667
123000	0.5475	-1616.8211535207297	38	0.38666666666666666
124000	0.5	-1616.2785181179167	14	0.3626666666666667
125000	0.5966625	-1616.2153024571974	14	0.384
126000	0.5966625	-1614.351779064242	14	0.4026666666666667
127000	0.5475	-1609.3873899948228	16	0.356
128000	0.5	-1614.637129000011	12	0.4786666666666667
129000	0.5	-1619.1340783234475	30	0.484
130000	0.5	-1614.657768871327	26	0.3973333333333333
131000	0.5966625	-1618.0575799647381	24	0.428
132000	0.5966625	-1615.0964997147955	18	0.432
133000	0.5475	-1614.1816349383298	30	0.35733333333333334
134000	0.5966625	-1614.2199046584049	44	0.38666666666666666
135000	0.5475	-1617.8124037797102	44	0.372
136000	0.5	-1622.7851252440892	34	0.476
