run	T	energy	magnetization	linked_overlapp
1000	1.4961239111958036	-838.3997603003947	-48	0.11333333333333333
2000	1.4961239111958036	-1012.4040441345807	-16	0.11866666666666667
3000	1.6637353367707248	-1138.5130146263448	-32	0.136
4000	1.6637353367707248	-1166.551221222167	2	0.17733333333333334
5000	1.6637353367707248	-1174.8950774082707	-12	0.13466666666666666
6000	1.8432848861322197	-1164.6487315897243	-4	0.136
7000	1.7519660735577003	-1192.0704270172098	-22	0.19866666666666666
8000	1.8432848861322197	-1249.9971385488764	2	0.17733333333333334
9000	1.8432848861322197	-1220.3337730341275	12	0.196
10000	1.8432848861322197	-1197.327497132374	-10	0.15333333333333332
11000	1.7519660735577003	-1205.2011925391114	-36	0.204
12000	1.7519660735577003	-1229.660628410642	-36	0.16666666666666666
13000	1.7519660735577003	-1208.7032749069717	-36	0.20133333333333334
14000	1.7519660735577003	-1236.659383345154	-30	0.21066666666666667
15000	1.8432848861322197	-1252.6333167808764	-14	0.18666666666666668
16000	1.8432848861322197	-1271.3160215624316	-42	0.184
17000	1.8432848861322197	-1247.4285181122427	-30	0.17866666666666667
18000	1.8432848861322197	-1225.333252620502	-22	0.18933333333333333
19000	1.9377998571468473	-1194.981809497416	-24	0.18533333333333332
20000	1.8432848861322197	-1215.1398418326835	-16	0.184
21000	1.7519660735577003	-1205.4198478709197	-34	0.17466666666666666
22000	1.9377998571468473	-1241.944535835231	-24	0.17466666666666666
23000	1.8432848861322197	-1266.0715973366755	-52	0.19733333333333333
24000	1.8432848861322197	-1310.791852259809	-66	0.19733333333333333
25000	1.7519660735577003	-1277.177723069285	-52	0.208
26000	1.6637353367707248	-1332.7841064471086	-82	0.22266666666666668
27000	1.7519660735577003	-1288.237189998746	-38	0.212
28000	1.8432848861322197	-1329.276346033513	-22	0.16666666666666666
29000	1.7519660735577003	-1346.4579271603886	-64	0.208
30000	1.6637353367707248	-1324.8277103223513	-70	0.20266666666666666
31000	1.6637353367707248	-1349.6088857137572	-40	0.20933333333333334
32000	1.5784882480876568	-1284.2619984490025	-22	0.24
33000	1.5784882480876568	-1371.5440940044145	-50	0.23333333333333334
34000	1.5784882480876568	-1373.344366259704	-60	0.21066666666666667
35000	1.4961239111958036	-1341.4496086175516	-42	0.264
36000	1.5784882480876568	-1360.7403554083457	-52	0.24533333333333332
37000	1.4961239111958036	-1365.8448929677754	-44	0.22533333333333333
38000	1.4961239111958036	-1371.25672259607	-60	0.24133333333333334
39000	1.4961239111958036	-1356.184671226373	-64	0.24933333333333332
40000	1.4961239111958036	-1378.69089920997	-40	0.26
41000	1.5784882480876568	-1352.9752603218494	-12	0.21866666666666668
42000	1.6637353367707248	-1370.0678313822066	-26	0.21866666666666668
43000	1.6637353367707248	-1383.4304689401865	-74	0.236
44000	1.5784882480876568	-1387.7359207655877	-42	0.24666666666666667
45000	1.5784882480876568	-1383.8092441053818	-28	0.2826666666666667
46000	1.4961239111958036	-1386.0194149056626	4	0.21866666666666668
47000	1.4165448417350759	-1390.4911966253514	-8	0.248
48000	1.3396568519179477	-1417.9584153785358	-14	0.2786666666666667
49000	1.4165448417350759	-1442.4140679932987	-12	0.288
50000	1.3396568519179477	-1427.6888311423756	-24	0.2853333333333333
51000	1.3396568519179477	-1450.9343582598474	-4	0.33866666666666667
52000	1.3396568519179477	-1448.5993400913749	-4	0.292
53000	1.265368939051157	-1439.6864965467014	14	0.2786666666666667
54000	1.265368939051157	-1449.20496936935	12	0.284
55000	1.4961239111958036	-1451.377071350065	6	0.2986666666666667
56000	1.6637353367707248	-1395.6529150084598	-6	0.24666666666666667
57000	1.5784882480876568	-1398.0827451151595	10	0.25333333333333335
58000	1.4961239111958036	-1409.9115805331123	26	0.268
59000	1.4961239111958036	-1427.2744103285672	-2	0.2613333333333333
60000	1.5784882480876568	-1419.565616675901	-2	0.21866666666666668
61000	1.4961239111958036	-1392.525793634663	30	0.236
62000	1.4165448417350759	-1405.5026342044978	14	0.244
63000	1.4165448417350759	-1428.451501592762	-6	0.23866666666666667
64000	1.3396568519179477	-1422.9689499323313	6	0.2986666666666667
65000	1.3396568519179477	-1454.90338171116	-10	0.2986666666666667
66000	1.3396568519179477	-1413.2049915062255	-18	0.26666666666666666
67000	1.4165448417350759	-1412.1224128354936	-18	0.26
68000	1.3396568519179477	-1459.2697184670433	-4	0.30266666666666664
69000	1.3396568519179477	-1448.2179189831909	-16	0.30666666666666664
70000	1.265368939051157	-1468.1154710733902	-36	0.30133333333333334
71000	1.265368939051157	-1469.9308625789242	-28	0.2853333333333333
72000	1.265368939051157	-1465.423927528736	-2	0.28
73000	1.265368939051157	-1455.180497731301	-12	0.2826666666666667
74000	1.265368939051157	-1464.2312247526438	-10	0.28933333333333333
75000	1.265368939051157	-1468.3988822454564	-28	0.304
76000	1.265368939051157	-1489.6261550470244	-12	0.30933333333333335
77000	1.1935931778272049	-1480.4825060017297	14	0.344
78000	1.265368939051157	-1481.1863529504967	2	0.312
79000	1.1935931778272049	-1487.102648010301	-16	0.296
80000	1.124244616258169	-1494.7372571707906	-2	0.30133333333333334
81000	1.124244616258169	-1515.5832618512297	-34	0.31466666666666665
82000	1.124244616258169	-1508.5658735903874	-14	0.324
83000	1.124244616258169	-1505.5512455621365	-14	0.30533333333333335
84000	1.1935931778272049	-1503.9924313226786	-26	0.316
85000	1.124244616258169	-1501.7614453929675	-12	0.2653333333333333
86000	1.1935931778272049	-1491.677098230083	-26	0.28933333333333333
87000	1.124244616258169	-1509.8970594840396	-20	0.3293333333333333
88000	1.124244616258169	-1505.8283107961395	-12	0.27066666666666667
89000	1.124244616258169	-1495.4968978028253	-6	0.312
90000	1.124244616258169	-1493.4936406703869	-30	0.31066666666666665
91000	1.124244616258169	-1498.080256582716	-12	0.36
92000	1.1935931778272049	-1507.681930460075	-18	0.332
93000	1.1935931778272049	-1484.4529268489102	-46	0.316
94000	1.1935931778272049	-1500.3187658125742	-36	0.30933333333333335
95000	1.1935931778272049	-1505.7631349598987	-18	0.30666666666666664
96000	1.1935931778272049	-1504.406394000484	-8	0.29733333333333334
97000	1.124244616258169	-1504.509429019358	-18	0.348
98000	1.124244616258169	-1527.115330317116	-34	0.30533333333333335
99000	1.124244616258169	-1500.892977765822	-30	0.31066666666666665
100000	1.124244616258169	-1511.311039706586	-22	0.31733333333333336
101000	1.124244616258169	-1501.8120546623873	-44	0.33866666666666667
102000	1.124244616258169	-1507.0326025600993	-44	0.28933333333333333
103000	1.0572411751286657	-1513.288138872319	-48	0.31466666666666665
104000	1.0572411751286657	-1527.047953595227	-50	0.3466666666666667
105000	0.9925035508489524	-1528.8894228542194	-66	0.352
106000	1.0572411751286657	-1531.3591894705478	-58	0.34
107000	1.0572411751286657	-1532.6764110122554	-46	0.37866666666666665
108000	1.0572411751286657	-1533.0880477105682	-44	0.3586666666666667
109000	1.0572411751286657	-1530.2632853380508	-32	0.31866666666666665
110000	1.0572411751286657	-1526.54627003251	-44	0.33466666666666667
111000	0.9925035508489524	-1545.6200126224037	-24	0.368
112000	0.9299551215931907	-1543.0624562077467	-26	0.38
113000	1.124244616258169	-1531.8922817449902	-40	0.344
114000	1.265368939051157	-1504.228619953159	-12	0.2866666666666667
115000	1.1935931778272049	-1498.7616601318311	-20	0.308
116000	1.265368939051157	-1483.9380793582993	-46	0.2786666666666667
117000	1.265368939051157	-1454.592828890426	-46	0.30933333333333335
118000	1.3396568519179477	-1481.0900727720186	-34	0.33466666666666667
119000	1.4165448417350759	-1468.563345873147	-4	0.29333333333333333
120000	1.4165448417350759	-1409.037839532754	-10	0.252
121000	1.4961239111958036	-1472.7604497185469	-16	0.29333333333333333
122000	1.4961239111958036	-1456.6900197655145	-2	0.30933333333333335
123000	1.4961239111958036	-1411.392645256267	-6	0.2813333333333333
124000	1.4165448417350759	-1401.7277659306537	-20	0.24533333333333332
125000	1.5784882480876568	-1403.8735747271064	-6	0.292
126000	1.5784882480876568	-1399.9874968018896	24	0.25866666666666666
127000	1.4961239111958036	-1380.51089287906	12	0.28
