run	T	energy	magnetization	linked_overlapp
1000	1.0572411751286657	-893.8651838649591	-2	0.06133333333333333
2000	0.9925035508489524	-1112.7212824746048	-24	0.13866666666666666
3000	1.1935931778272049	-1214.2714084695883	-18	0.16266666666666665
4000	1.265368939051157	-1283.5962030508572	-8	0.19733333333333333
5000	1.3396568519179477	-1290.7755357576416	36	0.19866666666666666
6000	1.4165448417350759	-1310.244841811819	22	0.244
7000	1.3396568519179477	-1309.3114308487202	8	0.21066666666666667
8000	1.3396568519179477	-1328.5583650904443	16	0.23466666666666666
9000	1.265368939051157	-1350.7037701167253	22	0.2733333333333333
10000	1.1935931778272049	-1373.9088201063016	18	0.23466666666666666
11000	1.124244616258169	-1440.1433739288502	-16	0.26
12000	1.0572411751286657	-1444.3389474166959	2	0.26266666666666666
13000	1.0572411751286657	-1451.0427468243006	-30	0.29733333333333334
14000	0.9925035508489524	-1453.2004527707218	-18	0.24533333333333332
15000	0.9925035508489524	-1457.5747956334692	16	0.276
16000	0.9299551215931907	-1488.2770216008587	10	0.2786666666666667
17000	0.9299551215931907	-1479.6021246442008	-4	0.288
18000	0.8695218566117785	-1500.4438273275332	4	0.324
19000	0.811132228610414	-1502.042203743617	8	0.30533333333333335
20000	0.811132228610414	-1518.427484297456	-12	0.3546666666666667
21000	0.7547171290921875	-1532.6125541157169	-2	0.2946666666666667
22000	0.7002097865625	-1529.437619729755	12	0.3253333333333333
23000	0.6475456875	-1538.2806872467331	8	0.304
24000	0.6475456875	-1539.176935921176	8	0.30933333333333335
25000	0.5966625	-1543.3991154563832	18	0.308
26000	0.5475	-1552.141106557262	18	0.276
27000	0.5	-1562.0099665266216	8	0.31066666666666665
28000	0.5475	-1572.9374078934618	20	0.34
29000	0.5	-1571.9360868144738	2	0.3373333333333333
30000	0.5	-1568.3445671392128	4	0.28933333333333333
31000	0.5	-1571.3608296623772	-6	0.33066666666666666
32000	0.5	-1565.0215029614635	-16	0.32666666666666666
33000	0.5	-1567.8616393138614	-14	0.36133333333333334
34000	0.5475	-1564.9069003338334	-26	0.28933333333333333
35000	0.5	-1571.167878715796	6	0.3293333333333333
36000	0.5966625	-1566.0314471787235	6	0.34933333333333333
37000	0.5966625	-1570.8517415086787	-2	0.3466666666666667
38000	0.5966625	-1568.1632547404142	-12	0.33866666666666667
39000	0.5475	-1565.1268476329544	2	0.364
40000	0.5475	-1563.5063255558898	14	0.3466666666666667
41000	0.5966625	-1570.1148011699304	4	0.38533333333333336
42000	0.5966625	-1561.1582545887857	14	0.3253333333333333
43000	0.5475	-1559.160762759424	-2	0.31733333333333336
44000	0.5966625	-1566.4290897971061	-10	0.356
45000	0.5475	-1570.4247921571232	-10	0.332
46000	0.5966625	-1570.8336892220768	-24	0.37866666666666665
47000	0.5966625	-1565.9271915910317	0	0.3453333333333333
48000	0.6475456875	-1567.925954973914	-10	0.30666666666666664
49000	0.6475456875	-1568.5327784572733	-2	0.31466666666666665
50000	0.6475456875	-1568.2236169158855	-2	0.31733333333333336
51000	0.5966625	-1572.6975081521578	0	0.36666666666666664
52000	0.6475456875	-1574.3845114329417	2	0.36933333333333335
53000	0.6475456875	-1569.6326056835535	-4	0.3373333333333333
54000	0.6475456875	-1570.3052035604328	0	0.36666666666666664
55000	0.6475456875	-1557.117024084535	-12	0.37066666666666664
56000	0.6475456875	-1554.7219957403756	0	0.32
57000	0.811132228610414	-1558.0039771915858	-6	0.31466666666666665
58000	0.811132228610414	-1559.7976028134397	2	0.35333333333333333
59000	0.7547171290921875	-1563.3550090432823	-12	0.3293333333333333
60000	0.811132228610414	-1559.751593895096	-26	0.3506666666666667
61000	0.811132228610414	-1558.2620866317993	-16	0.3453333333333333
62000	0.811132228610414	-1563.621857966212	-6	0.36933333333333335
63000	0.811132228610414	-1567.7560589456646	-14	0.31466666666666665
64000	0.7547171290921875	-1550.8716010004568	-4	0.29733333333333334
65000	0.9299551215931907	-1544.6184086206738	4	0.31733333333333336
66000	0.9925035508489524	-1537.228322509721	-20	0.30266666666666664
67000	0.9299551215931907	-1522.1990543592008	-16	0.368
68000	0.9299551215931907	-1532.0866422339752	-6	0.33866666666666667
69000	0.9299551215931907	-1534.3261415803495	-24	0.3453333333333333
70000	0.8695218566117785	-1529.8226418763402	-6	0.33866666666666667
71000	0.9925035508489524	-1523.6145118016266	-34	0.34933333333333333
72000	0.9925035508489524	-1542.9818979495594	-20	0.356
73000	0.9299551215931907	-1547.2264912953256	-4	0.35333333333333333
74000	0.9925035508489524	-1550.641041905736	-22	0.34933333333333333
75000	0.9299551215931907	-1539.9651768868052	-46	0.31066666666666665
76000	0.9299551215931907	-1537.1956802505952	-42	0.3333333333333333
77000	0.9925035508489524	-1532.9014599602506	-38	0.32266666666666666
78000	0.9925035508489524	-1532.7468414043399	-24	0.3506666666666667
79000	0.9925035508489524	-1531.510092890036	-20	0.344
80000	0.9925035508489524	-1528.268510603855	-12	0.332
81000	0.9299551215931907	-1521.6957346422541	-14	0.328
82000	0.9299551215931907	-1535.4288880900526	-30	0.37866666666666665
83000	0.8695218566117785	-1546.365412636216	-14	0.32266666666666666
84000	0.8695218566117785	-1551.2782381414147	-20	0.36133333333333334
85000	0.9299551215931907	-1550.9000057940962	-32	0.328
86000	0.9299551215931907	-1556.0885035946224	-16	0.3586666666666667
87000	0.8695218566117785	-1565.6362908552642	-12	0.38266666666666665
88000	0.811132228610414	-1572.7912981897687	-12	0.37466666666666665
89000	0.7547171290921875	-1580.0044540219267	-28	0.37466666666666665
90000	0.7547171290921875	-1569.383969345698	-14	0.36533333333333334
91000	0.7002097865625	-1580.862759305777	-12	0.384
92000	0.7002097865625	-1579.3147458149267	-34	0.36533333333333334
93000	0.7002097865625	-1573.0526984724356	-32	0.38133333333333336
94000	0.7002097865625	-1580.2894854250055	-32	0.36
95000	0.6475456875	-1577.6368753834563	-40	0.37733333333333335
96000	0.6475456875	-1582.362733168688	-24	0.37066666666666664
97000	0.7002097865625	-1583.4428479571443	-30	0.37733333333333335
98000	0.6475456875	-1589.160809204013	-24	0.356
99000	0.5966625	-1602.3050661626653	-32	0.38666666666666666
100000	0.5966625	-1601.3596451752037	-26	0.39066666666666666
101000	0.5475	-1595.8933335617571	-38	0.424
102000	0.5966625	-1597.1896753072813	-28	0.39066666666666666
103000	0.6475456875	-1585.6886844800472	-32	0.396
104000	0.5966625	-1592.8417440824155	-24	0.36666666666666664
105000	0.5966625	-1603.0047094677466	-22	0.38133333333333336
106000	0.5475	-1600.3306989922353	-20	0.37333333333333335
107000	0.5475	-1601.871774673473	-22	0.396
108000	0.5475	-1604.1515007601997	-22	0.4053333333333333
109000	0.5966625	-1601.9469280688593	-22	0.38533333333333336
110000	0.5475	-1605.2757436920795	-14	0.348
111000	0.5966625	-1606.6904066285895	-18	0.36533333333333334
112000	0.5966625	-1604.9204809080968	-20	0.376
113000	0.5475	-1596.807955856574	-28	0.42533333333333334
114000	0.5	-1603.240848527795	-12	0.384
115000	0.7002097865625	-1602.1114037010811	-28	0.39866666666666667
116000	0.7547171290921875	-1598.4549424003974	-8	0.38266666666666665
117000	0.7547171290921875	-1591.2391598194624	-16	0.36933333333333335
118000	0.7002097865625	-1592.0280947049175	-26	0.38133333333333336
119000	0.7002097865625	-1593.0329088429785	-26	0.39066666666666666
120000	0.7002097865625	-1584.3451060459251	-10	0.37733333333333335
121000	0.7002097865625	-1590.3788620367243	-24	0.4093333333333333
122000	0.7002097865625	-1586.6554610750482	-24	0.36666666666666664
123000	0.7002097865625	-1589.9734379724007	-24	0.38
124000	0.7002097865625	-1592.3883602611281	-14	0.4
125000	0.7002097865625	-1595.095712366572	-18	0.3933333333333333
126000	0.811132228610414	-1586.4500226513098	-22	0.3546666666666667
127000	0.811132228610414	-1579.2835851953118	-26	0.388
128000	0.8695218566117785	-1569.5832292198372	-20	0.368
129000	0.811132228610414	-1576.6330613846153	-10	0.344
130000	0.811132228610414	-1582.7306347048793	-30	0.3586666666666667
131000	0.811132228610414	-1565.755923463315	-10	0.33866666666666667
132000	0.7547171290921875	-1574.04379870887	-24	0.388
133000	0.811132228610414	-1589.3070505501807	-44	0.35333333333333333
134000	0.811132228610414	-1595.7747941109262	-18	0.352
135000	0.811132228610414	-1597.0587971284292	-24	0.4093333333333333
136000	0.811132228610414	-1598.8240839200648	-22	0.4
137000	0.7547171290921875	-1597.2597107836543	-20	0.37066666666666664
138000	0.7002097865625	-1595.8254245788205	-32	0.336
139000	0.7002097865625	-1597.247080093636	-14	0.396
140000	0.7002097865625	-1592.762028997536	-28	0.4066666666666667
141000	0.7002097865625	-1589.6079488669156	-30	0.37866666666666665
142000	0.7002097865625	-1589.3569749878632	-10	0.336
143000	0.7002097865625	-1581.4456311527404	-18	0.36133333333333334
144000	0.7547171290921875	-1578.9794106953793	-24	0.4066666666666667
145000	0.7002097865625	-1587.007466325662	-24	0.3893333333333333
146000	0.7002097865625	-1605.380242241958	-16	0.3973333333333333
147000	0.7547171290921875	-1593.8480893336014	-14	0.35333333333333333
148000	0.7547171290921875	-1587.7501151725955	-24	0.404
149000	0.7547171290921875	-1586.7135720957085	-20	0.37733333333333335
150000	0.7547171290921875	-1581.8161152617593	-32	0.3373333333333333
151000	0.7547171290921875	-1582.143951575339	-24	0.3546666666666667
152000	0.811132228610414	-1586.93637361823	-44	0.35733333333333334
153000	0.811132228610414	-1583.6092258184246	-36	0.39466666666666667
154000	0.7547171290921875	-1589.7838399609454	-40	0.368
155000	0.8695218566117785	-1577.2655724114181	-46	0.37333333333333335
156000	0.8695218566117785	-1579.4595404911354	-42	0.3293333333333333
157000	0.8695218566117785	-1576.0641670817247	-42	0.3253333333333333
158000	0.8695218566117785	-1587.930300176853	-16	0.336
159000	0.811132228610414	-1581.2740037091887	-34	0.38133333333333336
160000	0.811132228610414	-1591.2604865178635	-30	0.4026666666666667
161000	0.811132228610414	-1579.3730309516811	-16	0.3466666666666667
162000	0.811132228610414	-1583.8725563333587	-32	0.364
163000	0.7547171290921875	-1576.2012902108518	-26	0.37866666666666665
164000	0.811132228610414	-1567.8937439534805	-12	0.3426666666666667
165000	0.811132228610414	-1576.029599298403	-4	0.39866666666666667
166000	0.7547171290921875	-1585.4887328080997	-30	0.368
167000	0.7547171290921875	-1572.1259279122849	-34	0.38133333333333336
168000	0.8695218566117785	-1585.8880986445304	-26	0.4146666666666667
169000	0.8695218566117785	-1583.0541828851708	-34	0.3973333333333333
170000	0.8695218566117785	-1575.6103046026476	-18	0.3413333333333333
171000	0.9925035508489524	-1561.5652034537586	-2	0.32133333333333336
172000	0.9299551215931907	-1543.6157316096967	-4	0.3453333333333333
173000	1.0572411751286657	-1556.0093813192539	-38	0.3293333333333333
