run	T	energy	magnetization	linked_overlapp
1000	0.7002097865625	-919.6944929083098	-6	0.11733333333333333
2000	0.7002097865625	-1136.6486838500398	14	0.13466666666666666
3000	0.6475456875	-1275.9077154706395	44	0.196
4000	0.7002097865625	-1360.028131216873	38	0.23466666666666666
5000	0.6475456875	-1397.4117856825683	54	0.24133333333333334
6000	0.6475456875	-1399.584414339694	30	0.252
7000	0.5966625	-1412.3274999630826	26	0.28
8000	0.5966625	-1426.7635965087309	28	0.284
9000	0.7547171290921875	-1438.2086216134	22	0.288
10000	0.7547171290921875	-1439.2552799564028	20	0.252
11000	0.8695218566117785	-1421.202644680104	28	0.2813333333333333
12000	0.8695218566117785	-1419.3536193870743	12	0.30533333333333335
13000	1.124244616258169	-1399.794901098459	24	0.24666666666666667
14000	1.0572411751286657	-1396.2543938231188	22	0.264
15000	1.1935931778272049	-1414.0328630635206	24	0.22533333333333333
16000	1.265368939051157	-1403.4514515435676	20	0.24933333333333332
17000	1.265368939051157	-1405.5856703065367	32	0.22
18000	1.265368939051157	-1414.182481109809	16	0.24533333333333332
19000	1.265368939051157	-1429.976380824954	18	0.29333333333333333
20000	1.1935931778272049	-1418.5997323767715	28	0.272
21000	1.1935931778272049	-1411.8119692838206	54	0.276
22000	1.1935931778272049	-1377.4145450481496	14	0.268
23000	1.265368939051157	-1418.5892459301886	38	0.276
24000	1.265368939051157	-1401.790569708035	54	0.268
25000	1.265368939051157	-1419.5531467335347	30	0.276
26000	1.1935931778272049	-1421.855760446552	-10	0.24666666666666667
27000	1.124244616258169	-1458.539745024612	2	0.26
28000	1.124244616258169	-1476.6889420158939	26	0.3
29000	1.0572411751286657	-1468.539869583818	26	0.2946666666666667
30000	1.0572411751286657	-1468.745004872618	8	0.31733333333333336
31000	0.9925035508489524	-1481.9858427677339	-14	0.2653333333333333
32000	1.1935931778272049	-1476.8956494640652	-6	0.32266666666666666
33000	1.124244616258169	-1465.7275562385	-2	0.2866666666666667
34000	1.124244616258169	-1463.63428882888	12	0.2986666666666667
35000	1.0572411751286657	-1496.4058795095377	18	0.2986666666666667
36000	1.0572411751286657	-1493.21808416243	16	0.30666666666666664
37000	1.0572411751286657	-1512.0492543681144	6	0.30266666666666664
38000	0.9925035508489524	-1518.121409802902	-10	0.304
39000	1.0572411751286657	-1495.3748669024774	4	0.276
40000	1.0572411751286657	-1490.9950621666012	-14	0.3333333333333333
41000	0.9925035508489524	-1495.0012522384136	-40	0.2866666666666667
42000	1.0572411751286657	-1478.3736124144668	0	0.28
43000	1.1935931778272049	-1495.2552232868622	-12	0.31733333333333336
44000	1.124244616258169	-1473.1574741146248	-6	0.2906666666666667
45000	1.124244616258169	-1499.3633391403646	8	0.336
46000	1.124244616258169	-1490.3352897748268	-32	0.32133333333333336
47000	1.0572411751286657	-1491.4184264631883	-4	0.34
48000	1.124244616258169	-1494.1408493614606	-10	0.26666666666666666
49000	1.124244616258169	-1459.260269726883	-4	0.31066666666666665
50000	1.0572411751286657	-1471.8304926716742	-6	0.31466666666666665
51000	1.0572411751286657	-1488.9682611504754	4	0.2986666666666667
52000	1.0572411751286657	-1507.471673864889	-6	0.31066666666666665
53000	1.0572411751286657	-1532.1304074091825	-26	0.30933333333333335
54000	0.9925035508489524	-1533.4019118200722	-34	0.348
55000	0.9925035508489524	-1529.184910841852	-6	0.2986666666666667
56000	0.9925035508489524	-1526.524656987825	-14	0.3293333333333333
57000	0.9299551215931907	-1529.564801179692	2	0.3506666666666667
58000	0.8695218566117785	-1534.7737512569263	-8	0.3253333333333333
59000	0.8695218566117785	-1551.7588450483213	26	0.3253333333333333
60000	0.811132228610414	-1557.3993145029715	22	0.288
61000	0.7547171290921875	-1560.1934330870642	0	0.344
62000	0.7547171290921875	-1566.3232810700288	24	0.36666666666666664
63000	0.811132228610414	-1557.1457240038687	4	0.31466666666666665
64000	0.7547171290921875	-1570.2800270071068	-20	0.348
65000	0.7547171290921875	-1577.4452606151322	-4	0.39866666666666667
