T	A_mean

0.5	99.32
0.62	99.41
0.74	99.43
0.86	99.17
0.98	98.50
1.10	97.36
1.22	94.49
1.34	90.56
1.47	84.28
1.59	78.40
1.71	75.61
1.83	71.82
1.95	68.07
2.07	65.04
2.19	63.04
2.31	60.80
2.43	59.39
2.55	57.62
2.67	56.56
2.79	55.90
2.91	54.40
3.03	53.26
3.16	52.35
3.28	51.86
3.40	51.89
3.52	51.11
3.64	49.58
3.76	48.33
3.88	46.73
4.00	46.01


