run	T	energy	magnetization	linked_overlapp
1000	0.7002097865625	-847.4976835348855	14	0.13066666666666665
2000	0.7547171290921875	-1056.7028053841116	32	0.15333333333333332
3000	0.7547171290921875	-1204.272828375672	-6	0.16133333333333333
4000	0.7547171290921875	-1260.0069587437902	-16	0.19733333333333333
5000	0.7547171290921875	-1297.4329822089196	-2	0.21733333333333332
6000	0.7002097865625	-1350.7554102232018	32	0.21866666666666668
7000	0.7002097865625	-1376.7657990785797	0	0.236
8000	0.6475456875	-1416.0531144907318	10	0.2653333333333333
9000	0.6475456875	-1418.063710448617	-2	0.244
10000	0.7002097865625	-1416.3099188400706	2	0.2693333333333333
11000	0.6475456875	-1430.3846350636622	-4	0.256
12000	0.6475456875	-1445.9327915768615	-4	0.264
13000	0.7002097865625	-1457.6455369308806	0	0.2986666666666667
14000	0.7002097865625	-1480.0963179953758	14	0.2866666666666667
15000	0.6475456875	-1482.0464861311714	24	0.31866666666666665
16000	0.6475456875	-1487.7201509991946	16	0.28
17000	0.5966625	-1490.1858614158039	0	0.3
18000	0.5475	-1483.8279138462206	6	0.2946666666666667
19000	0.5	-1499.6909819668485	-4	0.32266666666666666
20000	0.5475	-1490.5964916204475	6	0.276
21000	0.5966625	-1499.8211646203497	6	0.29333333333333333
22000	0.5475	-1497.6385623846647	2	0.2826666666666667
23000	0.5	-1508.3800972588206	-10	0.312
24000	0.5	-1510.2104137688414	-4	0.30266666666666664
25000	0.5475	-1509.2783729685723	-12	0.35333333333333333
26000	0.5	-1506.0819391636078	-12	0.352
27000	0.5966625	-1503.7714023074652	-22	0.324
28000	0.5475	-1508.066993540977	-22	0.31733333333333336
29000	0.5	-1513.4694010876756	-10	0.32266666666666666
30000	0.5	-1515.4927507622933	-2	0.2946666666666667
31000	0.5	-1514.6752950616137	-14	0.312
32000	0.5	-1510.8517791369459	-12	0.312
33000	0.5475	-1511.1094094121206	0	0.34
34000	0.5475	-1506.6400319222987	-14	0.33466666666666667
35000	0.5475	-1518.15036347554	-24	0.37333333333333335
36000	0.5475	-1520.645733685483	-26	0.2853333333333333
37000	0.5475	-1516.3439963458643	-18	0.3506666666666667
