Run	T	Energy	Magnetization
0	0.5	-8	2
10000	0.5	-2396	-592
20000	0.5	-2608	-768
30000	0.5	-2692	-836
40000	0.5	-2696	-840
50000	0.5	-2696	-840
60000	0.5	-2696	-840
70000	0.5	-2696	-840
80000	0.5	-2696	-840
90000	0.5	-2696	-840
100000	0.5	-2696	-840
110000	0.5	-2696	-840
120000	0.5	-2696	-840
130000	0.5	-2696	-840
140000	0.5	-2800	-912
150000	0.5	-2840	-920
160000	0.5	-2840	-920
170000	0.5	-2840	-920
180000	0.5	-3000	-1000
190000	0.5	-3000	-1000
200000	0.5	-3000	-1000
210000	0.5	-3000	-1000
220000	0.5	-3000	-1000
230000	0.5	-3000	-1000
240000	0.5	-3000	-1000
250000	0.5	-3000	-1000
260000	0.5	-3000	-1000
270000	0.5	-3000	-1000
280000	0.5	-3000	-1000
290000	0.5	-3000	-1000
300000	0.5	-3000	-1000
310000	0.5	-3000	-1000
320000	0.5	-3000	-1000
330000	0.5	-3000	-1000
340000	0.5	-3000	-1000
350000	0.5	-3000	-1000
360000	0.5	-3000	-1000
370000	0.5	-3000	-1000
380000	0.5	-3000	-1000
390000	0.5	-3000	-1000
400000	0.5	-3000	-1000
410000	0.5	-3000	-1000
420000	0.5	-3000	-1000
430000	0.5	-3000	-1000
440000	0.5	-3000	-1000
450000	0.5	-3000	-1000
460000	0.5	-3000	-1000
470000	0.5	-3000	-1000
480000	0.5	-3000	-1000
490000	0.5	-3000	-1000
500000	0.5	-3000	-1000
510000	0.5	-3000	-1000
520000	0.5	-3000	-1000
530000	0.5	-3000	-1000
540000	0.5	-3000	-1000
550000	0.5	-3000	-1000
560000	0.5	-3000	-1000
570000	0.5	-3000	-1000
580000	0.5	-3000	-1000
590000	0.5	-3000	-1000
600000	0.5	-3000	-1000
610000	0.5	-3000	-1000
620000	0.5	-3000	-1000
630000	0.5	-3000	-1000
640000	0.5	-3000	-1000
650000	0.5	-3000	-1000
660000	0.5	-3000	-1000
670000	0.5	-3000	-1000
680000	0.5	-3000	-1000
690000	0.5	-3000	-1000
700000	0.5	-3000	-1000
710000	0.5	-3000	-1000
720000	0.5	-3000	-1000
730000	0.5	-3000	-1000
740000	0.5	-3000	-1000
750000	0.5	-3000	-1000
760000	0.5	-3000	-1000
770000	0.5	-3000	-1000
780000	0.5	-3000	-1000
790000	0.6666666666666666	-3000	-1000
800000	0.5	-3000	-1000
810000	1.3333333333333333	-3000	-1000
820000	1.1666666666666665	-3000	-1000
830000	0.9999999999999999	-3000	-1000
840000	1.6666666666666667	-3000	-1000
850000	1.5	-2988	-998
860000	1.3333333333333333	-3000	-1000
870000	1.3333333333333333	-3000	-1000
880000	1.1666666666666665	-3000	-1000
890000	1.1666666666666665	-3000	-1000
900000	0.9999999999999999	-3000	-1000
910000	0.8333333333333333	-3000	-1000
920000	0.8333333333333333	-3000	-1000
930000	0.9999999999999999	-3000	-1000
940000	0.8333333333333333	-3000	-1000
950000	0.6666666666666666	-3000	-1000
960000	0.6666666666666666	-3000	-1000
970000	0.6666666666666666	-3000	-1000
980000	0.8333333333333333	-3000	-1000
990000	1.1666666666666665	-3000	-1000
1000000	1.3333333333333333	-3000	-1000
1010000	1.1666666666666665	-3000	-1000
1020000	0.9999999999999999	-3000	-1000
1030000	0.8333333333333333	-3000	-1000
1040000	0.8333333333333333	-3000	-1000
1050000	0.6666666666666666	-3000	-1000
1060000	0.5	-3000	-1000
1070000	0.8333333333333333	-3000	-1000
1080000	0.8333333333333333	-3000	-1000
1090000	1.1666666666666665	-3000	-1000
1100000	0.9999999999999999	-3000	-1000
1110000	0.8333333333333333	-3000	-1000
1120000	0.9999999999999999	-3000	-1000
1130000	0.9999999999999999	-3000	-1000
1140000	0.9999999999999999	-3000	-1000
1150000	0.8333333333333333	-3000	-1000
1160000	0.8333333333333333	-3000	-1000
1170000	0.9999999999999999	-3000	-1000
1180000	0.9999999999999999	-3000	-1000
1190000	0.9999999999999999	-3000	-1000
1200000	0.9999999999999999	-3000	-1000
1210000	0.9999999999999999	-3000	-1000
1220000	1.1666666666666665	-2988	-998
1230000	1.5	-3000	-1000
1240000	1.6666666666666667	-3000	-1000
1250000	1.5	-2988	-998
1260000	2	-2920	-986
1270000	2	-2976	-996
1280000	2	-2988	-998
1290000	1.8333333333333335	-3000	-1000
1300000	2	-2952	-992
1310000	2	-2952	-992
1320000	2	-2952	-992
1330000	2	-2976	-996
1340000	2	-2976	-996
1350000	2	-2988	-998
1360000	1.8333333333333335	-3000	-1000
1370000	1.6666666666666667	-2988	-998
1380000	1.6666666666666667	-2988	-998
1390000	1.8333333333333335	-2988	-998
1400000	1.8333333333333335	-2952	-992
1410000	2	-2988	-998
1420000	2	-2968	-994
1430000	1.8333333333333335	-2976	-996
1440000	2	-2964	-994
1450000	2	-2988	-998
1460000	2	-2940	-990
1470000	2	-2940	-990
1480000	2	-2964	-994
1490000	2	-2944	-990
1500000	2	-2956	-992
1510000	1.8333333333333335	-2976	-996
1520000	1.8333333333333335	-3000	-1000
1530000	1.6666666666666667	-2976	-996
1540000	1.6666666666666667	-3000	-1000
1550000	1.5	-3000	-1000
1560000	1.3333333333333333	-3000	-1000
1570000	1.1666666666666665	-3000	-1000
1580000	1.3333333333333333	-3000	-1000
1590000	1.1666666666666665	-3000	-1000
1600000	0.9999999999999999	-3000	-1000
