Run	T	Energy	Magnetization
10000	1.4444444444444446	-7160	-374
20000	1.3333333333333335	-10248	-462
30000	1.3333333333333335	-11876	-568
40000	1.3333333333333335	-13088	-516
50000	1.3333333333333335	-13876	-500
60000	1.3333333333333335	-14284	-508
70000	1.3333333333333335	-14692	-554
80000	1.3333333333333335	-14924	-654
90000	1.4444444444444446	-15212	-670
100000	1.4444444444444446	-15360	-502
110000	1.4444444444444446	-15632	-560
120000	1.4444444444444446	-15856	-586
130000	1.4444444444444446	-15904	-686
140000	1.4444444444444446	-16152	-652
150000	1.3333333333333335	-16456	-642
160000	1.3333333333333335	-16532	-592
170000	1.3333333333333335	-16672	-656
180000	1.3333333333333335	-16736	-604
190000	1.3333333333333335	-16780	-634
200000	1.3333333333333335	-16804	-640
210000	1.3333333333333335	-16792	-694
220000	1.3333333333333335	-16916	-650
230000	1.3333333333333335	-17068	-630
240000	1.3333333333333335	-17068	-654
250000	1.3333333333333335	-17132	-680
260000	1.3333333333333335	-17204	-732
270000	1.3333333333333335	-17316	-784
280000	1.3333333333333335	-17372	-780
290000	1.2222222222222223	-17496	-752
300000	1.2222222222222223	-17520	-798
310000	1.2222222222222223	-17576	-834
320000	1.2222222222222223	-17612	-800
330000	1.2222222222222223	-17688	-798
340000	1.2222222222222223	-17664	-752
350000	1.2222222222222223	-17692	-728
360000	1.2222222222222223	-17704	-736
370000	1.2222222222222223	-17716	-822
380000	1.2222222222222223	-17760	-782
390000	1.2222222222222223	-17756	-768
400000	1.2222222222222223	-17760	-804
410000	1.2222222222222223	-17816	-842
420000	1.2222222222222223	-17752	-888
430000	1.2222222222222223	-17828	-902
440000	1.2222222222222223	-17884	-894
450000	1.2222222222222223	-17892	-822
460000	1.2222222222222223	-17848	-914
470000	1.2222222222222223	-17848	-872
480000	1.2222222222222223	-17884	-904
490000	1.2222222222222223	-17924	-930
500000	1.2222222222222223	-17872	-994
510000	1.2222222222222223	-17812	-966
520000	1.2222222222222223	-17880	-1008
530000	1.3333333333333335	-17832	-1054
540000	1.3333333333333335	-17752	-1028
550000	1.3333333333333335	-17788	-1026
560000	1.3333333333333335	-17856	-1074
570000	1.3333333333333335	-17852	-1024
580000	1.3333333333333335	-17896	-966
590000	1.3333333333333335	-17896	-962
600000	1.3333333333333335	-17872	-962
610000	1.3333333333333335	-17844	-966
620000	1.3333333333333335	-17864	-1004
630000	1.3333333333333335	-17896	-1074
640000	1.3333333333333335	-17908	-1046
650000	1.3333333333333335	-17984	-1086
660000	1.3333333333333335	-17916	-1058
670000	1.3333333333333335	-17916	-1022
680000	1.3333333333333335	-17944	-1028
690000	1.3333333333333335	-17900	-1096
700000	1.3333333333333335	-17956	-1056
710000	1.3333333333333335	-17952	-1036
720000	1.3333333333333335	-17952	-1106
730000	1.4444444444444446	-17808	-1160
740000	1.4444444444444446	-17760	-1180
750000	1.4444444444444446	-17868	-1196
760000	1.4444444444444446	-17856	-1236
770000	1.4444444444444446	-17788	-1206
780000	1.4444444444444446	-17828	-1214
790000	1.4444444444444446	-17860	-1204
800000	1.4444444444444446	-17856	-1228
810000	1.4444444444444446	-17876	-1250
820000	1.4444444444444446	-17792	-1268
830000	1.4444444444444446	-17804	-1322
840000	1.4444444444444446	-17800	-1284
850000	1.4444444444444446	-17908	-1298
860000	1.4444444444444446	-17856	-1310
870000	1.4444444444444446	-17968	-1316
880000	1.4444444444444446	-17904	-1294
890000	1.4444444444444446	-17916	-1306
900000	1.4444444444444446	-17940	-1296
910000	1.4444444444444446	-17920	-1266
920000	1.4444444444444446	-17916	-1322
930000	1.4444444444444446	-17940	-1314
940000	1.4444444444444446	-17936	-1348
950000	1.4444444444444446	-17908	-1364
960000	1.4444444444444446	-17840	-1418
970000	1.4444444444444446	-17872	-1412
980000	1.4444444444444446	-17936	-1518
990000	1.4444444444444446	-17976	-1512
1000000	1.4444444444444446	-17996	-1542
1010000	1.4444444444444446	-17988	-1514
1020000	1.4444444444444446	-17900	-1436
1030000	1.4444444444444446	-18024	-1496
1040000	1.4444444444444446	-17976	-1500
1050000	1.4444444444444446	-17996	-1500
1060000	1.4444444444444446	-17980	-1522
1070000	1.4444444444444446	-17952	-1546
1080000	1.4444444444444446	-17912	-1474
1090000	1.4444444444444446	-18152	-1484
1100000	1.4444444444444446	-18116	-1504
1110000	1.4444444444444446	-18048	-1530
1120000	1.4444444444444446	-17996	-1502
1130000	1.4444444444444446	-17960	-1496
1140000	1.4444444444444446	-17920	-1468
1150000	1.4444444444444446	-18084	-1464
1160000	1.4444444444444446	-18052	-1446
1170000	1.4444444444444446	-17924	-1488
1180000	1.4444444444444446	-18000	-1434
1190000	1.4444444444444446	-18080	-1506
1200000	1.4444444444444446	-18056	-1536
1210000	1.4444444444444446	-18088	-1598
1220000	1.4444444444444446	-18028	-1612
1230000	1.4444444444444446	-17996	-1652
1240000	1.4444444444444446	-17992	-1662
1250000	1.4444444444444446	-18048	-1688
1260000	1.4444444444444446	-18028	-1744
1270000	1.4444444444444446	-18044	-1742
1280000	1.4444444444444446	-18088	-1814
1290000	1.4444444444444446	-18040	-1794
1300000	1.4444444444444446	-18096	-1790
1310000	1.4444444444444446	-18036	-1778
1320000	1.4444444444444446	-18040	-1684
1330000	1.4444444444444446	-18016	-1738
1340000	1.4444444444444446	-17948	-1740
1350000	1.4444444444444446	-17968	-1842
1360000	1.4444444444444446	-18044	-1874
1370000	1.4444444444444446	-18036	-1910
1380000	1.4444444444444446	-18120	-1916
1390000	1.4444444444444446	-18052	-1894
1400000	1.4444444444444446	-18100	-1896
1410000	1.4444444444444446	-18160	-1846
1420000	1.4444444444444446	-18132	-1828
1430000	1.4444444444444446	-18144	-1832
1440000	1.4444444444444446	-18100	-1888
1450000	1.4444444444444446	-18148	-1944
1460000	1.4444444444444446	-18128	-2054
1470000	1.4444444444444446	-18084	-1994
1480000	1.4444444444444446	-18044	-2012
1490000	1.4444444444444446	-18152	-2022
1500000	1.4444444444444446	-18056	-2094
1510000	1.4444444444444446	-18116	-2056
1520000	1.4444444444444446	-18120	-2058
1530000	1.4444444444444446	-18164	-2140
1540000	1.4444444444444446	-18072	-2098
1550000	1.4444444444444446	-18108	-2068
1560000	1.4444444444444446	-18152	-2094
1570000	1.4444444444444446	-18080	-2128
1580000	1.4444444444444446	-18124	-2136
1590000	1.4444444444444446	-18144	-2166
1600000	1.4444444444444446	-18192	-2168
1610000	1.4444444444444446	-18236	-2162
1620000	1.4444444444444446	-18180	-2164
1630000	1.4444444444444446	-18176	-2146
1640000	1.4444444444444446	-18116	-2266
1650000	1.4444444444444446	-17984	-2274
1660000	1.5555555555555558	-17912	-2318
1670000	1.5555555555555558	-17956	-2418
1680000	1.5555555555555558	-17964	-2484
1690000	1.5555555555555558	-18024	-2484
1700000	1.5555555555555558	-18020	-2538
1710000	1.5555555555555558	-17996	-2560
1720000	1.5555555555555558	-17888	-2446
1730000	1.5555555555555558	-17940	-2432
1740000	1.5555555555555558	-17976	-2364
1750000	1.5555555555555558	-17964	-2466
1760000	1.5555555555555558	-17984	-2506
1770000	1.5555555555555558	-17876	-2512
1780000	1.5555555555555558	-17820	-2606
1790000	1.5555555555555558	-17824	-2656
1800000	1.5555555555555558	-17768	-2686
1810000	1.5555555555555558	-17852	-2718
1820000	1.5555555555555558	-17792	-2710
1830000	1.5555555555555558	-17800	-2742
1840000	1.5555555555555558	-17956	-2694
1850000	1.5555555555555558	-17828	-2642
1860000	1.5555555555555558	-17828	-2660
1870000	1.5555555555555558	-17876	-2736
1880000	1.5555555555555558	-17836	-2676
1890000	1.5555555555555558	-18016	-2758
1900000	1.5555555555555558	-17928	-2780
1910000	1.5555555555555558	-17960	-2734
1920000	1.5555555555555558	-18084	-2706
1930000	1.5555555555555558	-18020	-2726
1940000	1.5555555555555558	-17924	-2712
1950000	1.5555555555555558	-18032	-2714
1960000	1.5555555555555558	-18028	-2732
1970000	1.5555555555555558	-18020	-2770
1980000	1.5555555555555558	-18016	-2802
1990000	1.5555555555555558	-17932	-2804
2000000	1.5555555555555558	-18032	-2866
2010000	1.5555555555555558	-18044	-2888
2020000	1.5555555555555558	-18092	-2948
2030000	1.5555555555555558	-18028	-2936
2040000	1.5555555555555558	-17872	-2914
2050000	1.5555555555555558	-17936	-2926
2060000	1.5555555555555558	-17916	-2922
2070000	1.5555555555555558	-18072	-2930
2080000	1.5555555555555558	-18096	-2984
2090000	1.5555555555555558	-17956	-3068
2100000	1.5555555555555558	-17844	-3090
2110000	1.5555555555555558	-17948	-3122
2120000	1.5555555555555558	-17992	-3134
2130000	1.5555555555555558	-17984	-3230
2140000	1.5555555555555558	-17992	-3228
2150000	1.5555555555555558	-18036	-3274
2160000	1.5555555555555558	-18108	-3340
2170000	1.5555555555555558	-18076	-3320
2180000	1.5555555555555558	-18036	-3292
2190000	1.5555555555555558	-18184	-3248
2200000	1.5555555555555558	-18164	-3248
2210000	1.5555555555555558	-18184	-3214
2220000	1.4444444444444446	-18272	-3186
2230000	1.4444444444444446	-18296	-3134
2240000	1.4444444444444446	-18292	-3144
2250000	1.4444444444444446	-18324	-3094
2260000	1.4444444444444446	-18332	-3106
2270000	1.4444444444444446	-18352	-3040
2280000	1.4444444444444446	-18268	-3038
2290000	1.4444444444444446	-18332	-3020
2300000	1.4444444444444446	-18392	-3116
2310000	1.4444444444444446	-18412	-3076
2320000	1.4444444444444446	-18408	-3144
2330000	1.4444444444444446	-18392	-3140
2340000	1.4444444444444446	-18360	-3134
2350000	1.4444444444444446	-18304	-3108
2360000	1.4444444444444446	-18368	-3096
2370000	1.4444444444444446	-18416	-3102
2380000	1.4444444444444446	-18404	-3018
2390000	1.4444444444444446	-18336	-3026
2400000	1.4444444444444446	-18320	-3020
2410000	1.4444444444444446	-18348	-2970
2420000	1.4444444444444446	-18372	-2952
2430000	1.4444444444444446	-18380	-2938
2440000	1.4444444444444446	-18400	-2966
2450000	1.4444444444444446	-18428	-2920
2460000	1.4444444444444446	-18448	-2956
2470000	1.4444444444444446	-18480	-2958
2480000	1.4444444444444446	-18536	-2952
2490000	1.4444444444444446	-18476	-3006
2500000	1.4444444444444446	-18480	-3004
2510000	1.4444444444444446	-18532	-2996
2520000	1.4444444444444446	-18520	-3048
2530000	1.4444444444444446	-18496	-3090
2540000	1.4444444444444446	-18468	-3122
2550000	1.4444444444444446	-18452	-3152
2560000	1.4444444444444446	-18440	-3138
2570000	1.4444444444444446	-18420	-3176
2580000	1.4444444444444446	-18456	-3216
2590000	1.4444444444444446	-18416	-3246
2600000	1.4444444444444446	-18404	-3236
2610000	1.4444444444444446	-18448	-3224
2620000	1.4444444444444446	-18492	-3164
2630000	1.4444444444444446	-18416	-3154
2640000	1.4444444444444446	-18560	-3116
2650000	1.4444444444444446	-18460	-3112
2660000	1.4444444444444446	-18424	-3076
2670000	1.4444444444444446	-18424	-3100
2680000	1.4444444444444446	-18444	-3136
2690000	1.4444444444444446	-18540	-3180
2700000	1.4444444444444446	-18512	-3182
2710000	1.4444444444444446	-18504	-3230
2720000	1.4444444444444446	-18516	-3254
2730000	1.4444444444444446	-18520	-3290
2740000	1.4444444444444446	-18492	-3294
2750000	1.4444444444444446	-18452	-3328
2760000	1.4444444444444446	-18424	-3408
2770000	1.4444444444444446	-18540	-3468
2780000	1.4444444444444446	-18568	-3452
2790000	1.4444444444444446	-18552	-3438
2800000	1.4444444444444446	-18492	-3424
2810000	1.4444444444444446	-18548	-3394
2820000	1.4444444444444446	-18504	-3430
2830000	1.4444444444444446	-18532	-3454
2840000	1.4444444444444446	-18452	-3400
2850000	1.4444444444444446	-18528	-3434
2860000	1.4444444444444446	-18584	-3460
2870000	1.4444444444444446	-18540	-3442
2880000	1.4444444444444446	-18564	-3532
2890000	1.4444444444444446	-18560	-3512
2900000	1.4444444444444446	-18540	-3526
2910000	1.4444444444444446	-18580	-3592
