run	T	energy	magnetization	linked_overlapp
1000	0.5	-893.7782561052941	38	0.09466666666666666
2000	0.5	-1167.2058319175587	16	0.17866666666666667
3000	0.5475	-1272.909085971276	32	0.216
4000	0.5475	-1342.097491213996	-14	0.224
5000	0.5475	-1366.1249061857795	-4	0.24133333333333334
6000	0.5966625	-1386.584987408281	10	0.2773333333333333
7000	0.5966625	-1380.537897714713	6	0.25733333333333336
8000	0.5966625	-1393.305248171184	22	0.25066666666666665
9000	0.5966625	-1416.555701138221	8	0.288
10000	0.6475456875	-1425.6832391291439	6	0.236
11000	0.5966625	-1428.8551373237208	-4	0.272
12000	0.5966625	-1426.836832597595	-14	0.284
13000	0.5966625	-1427.1453853344121	0	0.284
14000	0.7002097865625	-1437.209551587293	2	0.2733333333333333
15000	0.7002097865625	-1436.7291506853228	14	0.3
16000	0.7002097865625	-1425.8446809677573	18	0.304
17000	0.7547171290921875	-1428.3847291495072	22	0.24933333333333332
18000	0.7547171290921875	-1426.4640037400454	10	0.27066666666666667
19000	0.7002097865625	-1441.5081448270566	18	0.29733333333333334
20000	0.7547171290921875	-1444.8485188052716	28	0.2906666666666667
21000	0.7547171290921875	-1442.7276797882107	22	0.27466666666666667
22000	0.7547171290921875	-1456.0810731174765	28	0.3253333333333333
23000	0.7547171290921875	-1460.3257320696214	14	0.3333333333333333
24000	0.7547171290921875	-1461.8803981301546	20	0.2866666666666667
25000	0.7002097865625	-1457.0510770113597	36	0.2813333333333333
26000	0.6475456875	-1470.4305570598312	50	0.284
27000	0.7002097865625	-1475.1729856422987	40	0.2946666666666667
28000	0.6475456875	-1479.2690165733347	66	0.3293333333333333
29000	0.6475456875	-1498.0896310727862	52	0.2946666666666667
30000	0.5966625	-1509.4855181110197	42	0.29733333333333334
31000	0.5475	-1517.289145623185	42	0.30266666666666664
32000	0.5	-1526.722380110549	34	0.33866666666666667
33000	0.5	-1528.2943389356476	48	0.3333333333333333
34000	0.5475	-1525.9729483079398	34	0.352
35000	0.5	-1522.9347416865062	24	0.3253333333333333
36000	0.5475	-1526.0876149510068	28	0.332
37000	0.5475	-1525.7547502423263	32	0.336
38000	0.5475	-1524.210475157867	28	0.344
39000	0.5475	-1527.0524916872869	24	0.32266666666666666
40000	0.5	-1528.2813711882045	38	0.3253333333333333
41000	0.5	-1533.1056292480916	20	0.3506666666666667
42000	0.5	-1536.7436755249128	28	0.3626666666666667
43000	0.5475	-1540.8798839354345	26	0.344
44000	0.5475	-1533.5088454115241	22	0.3253333333333333
45000	0.5475	-1532.8972248020473	32	0.3413333333333333
46000	0.5475	-1536.3389370203768	16	0.33066666666666666
47000	0.5475	-1542.4393225114939	28	0.3546666666666667
48000	0.5475	-1538.9342345600323	28	0.36
49000	0.5475	-1541.2817678349925	18	0.3586666666666667
50000	0.5	-1537.9279894461858	16	0.336
51000	0.5475	-1528.2129612999372	2	0.3546666666666667
52000	0.5966625	-1531.9516552168666	18	0.3413333333333333
53000	0.5475	-1530.5166702164843	30	0.36533333333333334
54000	0.5475	-1529.812329847187	12	0.33066666666666666
55000	0.6475456875	-1525.7956164023478	46	0.328
56000	0.7002097865625	-1525.8732618801198	34	0.32266666666666666
57000	0.7002097865625	-1509.0186903868648	24	0.31066666666666665
58000	0.7547171290921875	-1513.5519344245288	24	0.324
59000	0.7002097865625	-1521.9007631668244	34	0.36533333333333334
60000	0.7547171290921875	-1529.5973087825926	46	0.332
61000	0.7002097865625	-1526.98938337222	40	0.308
62000	0.7002097865625	-1540.2884406462142	46	0.33866666666666667
63000	0.6475456875	-1543.8030381046847	28	0.33066666666666666
64000	0.6475456875	-1549.3718980292922	32	0.33466666666666667
65000	0.6475456875	-1548.470907346076	28	0.2906666666666667
66000	0.5966625	-1549.1756753241375	40	0.35333333333333333
67000	0.5966625	-1554.9947967630062	38	0.36666666666666664
68000	0.6475456875	-1542.9525484646956	40	0.32666666666666666
69000	0.6475456875	-1561.257749285094	38	0.30933333333333335
70000	0.6475456875	-1557.4385173435576	24	0.32
71000	0.5966625	-1559.2494616493084	30	0.308
72000	0.5475	-1565.169368082243	28	0.348
73000	0.5475	-1565.5504992205342	50	0.344
74000	0.5	-1575.1289420466228	34	0.3
75000	0.5	-1576.1976888634472	36	0.3546666666666667
76000	0.5	-1576.1807649096675	38	0.372
77000	0.5	-1580.3755159282098	28	0.372
78000	0.5	-1583.2598846603773	36	0.37466666666666665
79000	0.5	-1582.6471570008728	24	0.364
80000	0.5	-1582.9260224186226	30	0.36666666666666664
81000	0.5	-1581.4979825103235	34	0.3973333333333333
82000	0.5	-1575.7259533992524	34	0.372
83000	0.5	-1579.8319239987507	30	0.37066666666666664
84000	0.5	-1578.4326844304808	34	0.3586666666666667
85000	0.5	-1582.2851735552536	30	0.37066666666666664
86000	0.5	-1583.8407121514076	36	0.3466666666666667
87000	0.5	-1576.9107430481629	42	0.368
88000	0.5	-1576.8974007624997	52	0.3546666666666667
89000	0.5	-1577.9846124741186	42	0.356
90000	0.5475	-1577.213443279912	46	0.31866666666666665
91000	0.5475	-1574.4693941649869	26	0.348
92000	0.5	-1574.1477805014456	22	0.34
93000	0.5	-1573.1871757628833	28	0.33866666666666667
94000	0.5	-1572.7268175101597	24	0.37866666666666665
95000	0.5	-1571.0849347397257	34	0.33466666666666667
96000	0.5	-1571.7333812339768	34	0.344
97000	0.5475	-1571.9173234469304	54	0.4
98000	0.5	-1576.9394815463027	40	0.368
99000	0.5475	-1582.6659611188857	48	0.35733333333333334
100000	0.5475	-1581.6631822674865	44	0.3453333333333333
