run	T	energy	magnetization	linked_overlapp
1000	0.7002097865625	-847.4353700844358	-32	0.07733333333333334
2000	0.7002097865625	-1114.9968354590942	-8	0.14666666666666667
3000	0.7002097865625	-1224.437576072777	6	0.19733333333333333
4000	0.6475456875	-1308.4045975833749	6	0.20666666666666667
5000	0.7002097865625	-1333.6055213577301	0	0.24133333333333334
6000	0.7002097865625	-1369.77171465402	2	0.24133333333333334
7000	0.7002097865625	-1393.2059265215557	-2	0.25466666666666665
8000	0.7002097865625	-1408.9870448372003	-2	0.23866666666666667
9000	0.7002097865625	-1404.429005044307	-16	0.22533333333333333
10000	0.7002097865625	-1423.8994714820549	-6	0.2733333333333333
11000	0.7547171290921875	-1424.2645800324947	-10	0.228
12000	0.7002097865625	-1433.1350256269366	0	0.24666666666666667
13000	0.6475456875	-1463.1369878482376	-12	0.312
14000	0.6475456875	-1470.159529725193	-16	0.284
15000	0.5966625	-1482.1501455093078	-18	0.29333333333333333
16000	0.5966625	-1484.4393850834185	-32	0.2853333333333333
17000	0.5475	-1477.490641310311	-18	0.2786666666666667
18000	0.5475	-1480.5476192156905	-22	0.28933333333333333
19000	0.5475	-1486.004725797313	-24	0.28
20000	0.5475	-1487.937137453745	-32	0.2773333333333333
21000	0.5	-1494.468060841541	-18	0.34
22000	0.5966625	-1495.5501098244379	-34	0.324
23000	0.5966625	-1492.8905576117559	-28	0.2946666666666667
24000	0.5475	-1504.0980407076224	-18	0.3293333333333333
25000	0.5475	-1496.078021172884	-14	0.32666666666666666
26000	0.5475	-1501.978254857152	-18	0.296
27000	0.5	-1507.0549546391494	-22	0.31066666666666665
28000	0.5966625	-1510.363280405968	-4	0.308
29000	0.5966625	-1513.0700681614871	-14	0.31866666666666665
30000	0.5475	-1515.6752126754636	-24	0.3413333333333333
31000	0.5475	-1509.4385709747878	-26	0.32
32000	0.5966625	-1513.4489096356313	-16	0.316
33000	0.5966625	-1509.0711443835883	-14	0.324
34000	0.5966625	-1515.5210801222172	-2	0.3373333333333333
35000	0.5966625	-1515.3011132410857	2	0.344
36000	0.5966625	-1530.3416636941463	-4	0.3426666666666667
37000	0.5966625	-1532.8553711549948	-12	0.29333333333333333
38000	0.5475	-1538.2587434731026	-2	0.30133333333333334
39000	0.5	-1534.1695367319132	-6	0.356
40000	0.5	-1534.4195171275903	-6	0.3453333333333333
41000	0.5	-1528.502767296553	-8	0.3373333333333333
42000	0.5	-1534.9754013475272	-14	0.348
43000	0.5	-1532.347032648666	-6	0.32133333333333336
44000	0.5475	-1529.397943226428	2	0.34
45000	0.5475	-1530.6877046940613	0	0.304
46000	0.5966625	-1529.6663445251068	-12	0.3506666666666667
47000	0.5966625	-1527.956650197059	-10	0.3413333333333333
48000	0.5966625	-1531.1595326770926	-4	0.304
49000	0.5966625	-1532.3958381581947	-22	0.308
50000	0.5966625	-1533.8915938915852	-30	0.31333333333333335
51000	0.5966625	-1531.6022581346053	-24	0.304
52000	0.5475	-1531.6823512579874	-28	0.3413333333333333
53000	0.5475	-1537.0245429413415	-18	0.30133333333333334
54000	0.6475456875	-1536.7951214078885	-12	0.308
55000	0.6475456875	-1518.202269944044	-14	0.2826666666666667
56000	0.5966625	-1522.8999191261003	-18	0.3546666666666667
57000	0.5966625	-1529.9468572823562	-22	0.31066666666666665
58000	0.5966625	-1535.3642411469345	-26	0.3453333333333333
59000	0.5966625	-1540.617525688281	-8	0.3466666666666667
60000	0.5475	-1539.286036656169	-14	0.3426666666666667
61000	0.5475	-1535.8809398914275	-18	0.312
62000	0.5475	-1536.2073141680428	-24	0.31066666666666665
63000	0.5475	-1533.454253089821	-20	0.36666666666666664
64000	0.5	-1544.5794286504959	-20	0.3
65000	0.5	-1545.782377765602	-28	0.328
66000	0.5966625	-1542.4429388056176	-28	0.352
67000	0.5475	-1542.8829002562304	-30	0.34933333333333333
68000	0.5475	-1545.1816226321685	-22	0.36933333333333335
69000	0.5475	-1537.2947978174661	-14	0.34
70000	0.5	-1539.0069052181707	-26	0.38266666666666665
71000	0.5475	-1539.9723082961634	-6	0.36133333333333334
72000	0.5966625	-1540.299402649622	0	0.34933333333333333
73000	0.6475456875	-1539.0493245259172	-18	0.37733333333333335
74000	0.6475456875	-1531.192126722793	-24	0.372
75000	0.6475456875	-1517.1235191510514	-14	0.33866666666666667
76000	0.6475456875	-1523.1070078340401	-16	0.30133333333333334
77000	0.6475456875	-1519.5401736099561	-12	0.30133333333333334
78000	0.7002097865625	-1519.1550248814788	-26	0.3586666666666667
79000	0.7002097865625	-1519.3772850016346	-16	0.29733333333333334
80000	0.6475456875	-1530.5182541881939	-8	0.33466666666666667
81000	0.6475456875	-1526.138479055453	-10	0.26266666666666666
82000	0.6475456875	-1526.2023130640637	-18	0.3506666666666667
83000	0.6475456875	-1532.7706564208713	-24	0.356
84000	0.7002097865625	-1529.3943525616958	0	0.34933333333333333
85000	0.7547171290921875	-1522.0827986977583	-4	0.344
86000	0.7002097865625	-1522.0574784058801	-22	0.3466666666666667
87000	0.7547171290921875	-1509.7598653910063	-8	0.31333333333333335
88000	0.7547171290921875	-1519.3858638975544	-30	0.3373333333333333
89000	0.7547171290921875	-1518.030747854413	-26	0.37333333333333335
90000	0.7002097865625	-1524.9063867586754	-34	0.3333333333333333
91000	0.7547171290921875	-1519.7881064199921	-32	0.34933333333333333
92000	0.7547171290921875	-1523.0810233831407	-18	0.35733333333333334
93000	0.7547171290921875	-1535.8025495784082	-20	0.34933333333333333
94000	0.7002097865625	-1520.173457677408	-12	0.352
