run	T	energy	magnetization	linked_overlapp
1000	0.6475456875	-874.2870510026207	-30	0.11733333333333333
2000	0.5966625	-1148.6865321190694	10	0.18133333333333335
3000	0.6475456875	-1258.8954646049867	0	0.22533333333333333
4000	0.7002097865625	-1302.0700707238582	18	0.22266666666666668
5000	0.7002097865625	-1330.34252445227	12	0.188
6000	0.7547171290921875	-1357.7612031024885	34	0.22666666666666666
7000	0.7547171290921875	-1369.104791894793	24	0.26266666666666666
8000	0.7547171290921875	-1370.9493437160913	-2	0.284
9000	0.7547171290921875	-1398.1342104149705	12	0.20933333333333334
10000	0.7547171290921875	-1403.116054835238	44	0.26266666666666666
11000	0.7547171290921875	-1409.8708508268498	56	0.228
12000	0.7547171290921875	-1416.3035590643542	42	0.2613333333333333
13000	0.7547171290921875	-1435.4052954540384	40	0.30933333333333335
14000	0.7547171290921875	-1444.0448308840441	26	0.276
15000	0.7547171290921875	-1447.4639125262445	4	0.30933333333333335
16000	0.7547171290921875	-1445.3899415660887	4	0.28
17000	0.7002097865625	-1436.5373444350946	4	0.3
18000	0.7002097865625	-1429.805953336271	-6	0.2826666666666667
19000	0.7002097865625	-1442.716922972558	6	0.2693333333333333
20000	0.7002097865625	-1452.0850393033784	16	0.30666666666666664
21000	0.6475456875	-1459.3186646728425	18	0.2866666666666667
22000	0.7547171290921875	-1458.0457718738915	-26	0.264
23000	0.7547171290921875	-1457.5836933427818	-22	0.3333333333333333
24000	0.7547171290921875	-1448.0426243021063	-40	0.272
25000	0.7547171290921875	-1455.275085513743	-50	0.3
26000	0.7547171290921875	-1434.1512814921093	-40	0.2786666666666667
27000	0.7547171290921875	-1440.6796053434578	-26	0.2826666666666667
28000	0.7547171290921875	-1450.466422946579	-18	0.2773333333333333
29000	0.7547171290921875	-1447.6710608280496	-34	0.30133333333333334
30000	0.7547171290921875	-1463.1645645023682	-24	0.2906666666666667
31000	0.7547171290921875	-1465.258638392951	-34	0.28933333333333333
32000	0.7002097865625	-1481.568142173108	-26	0.30133333333333334
33000	0.7547171290921875	-1471.4114713131783	-28	0.30266666666666664
34000	0.7547171290921875	-1472.7228088984734	-12	0.32
35000	0.7002097865625	-1480.5692170680554	-22	0.3
36000	0.7002097865625	-1479.2650503323246	-34	0.3466666666666667
37000	0.6475456875	-1488.29956619075	-22	0.31466666666666665
38000	0.7002097865625	-1490.2180086551527	-12	0.3293333333333333
39000	0.7547171290921875	-1486.9890198583844	-32	0.308
40000	0.7002097865625	-1489.9422291874505	-32	0.32
41000	0.7002097865625	-1493.7728504349698	-10	0.348
42000	0.7002097865625	-1490.744867442517	-10	0.27466666666666667
43000	0.7547171290921875	-1481.6393350064109	-26	0.316
44000	0.7547171290921875	-1495.3452985420506	-6	0.30133333333333334
45000	0.7002097865625	-1502.9072101628951	-18	0.31333333333333335
46000	0.7002097865625	-1510.2012818522794	-2	0.316
47000	0.6475456875	-1516.1651429176302	-8	0.304
48000	0.5966625	-1523.2472139393033	-22	0.29333333333333333
49000	0.5966625	-1512.3394975012527	-22	0.31733333333333336
50000	0.6475456875	-1515.4689960278704	-8	0.3426666666666667
51000	0.6475456875	-1518.6270840583256	-16	0.3506666666666667
52000	0.6475456875	-1522.1637773396392	-2	0.3426666666666667
53000	0.6475456875	-1513.2861136514555	-2	0.30933333333333335
54000	0.6475456875	-1522.9548743708942	2	0.36533333333333334
55000	0.5966625	-1520.955287295494	-4	0.37066666666666664
56000	0.5966625	-1529.833550808683	-10	0.3506666666666667
57000	0.5475	-1532.061101775942	-22	0.35333333333333333
58000	0.5475	-1534.3997790287542	-10	0.31333333333333335
59000	0.5475	-1533.3050067663223	-8	0.30266666666666664
60000	0.6475456875	-1529.2101777483683	-16	0.3
61000	0.5966625	-1534.5082705589425	-12	0.37066666666666664
62000	0.5966625	-1535.325022652583	-14	0.33466666666666667
63000	0.5966625	-1524.6373654464892	-26	0.3586666666666667
64000	0.5966625	-1522.196703702495	-16	0.35333333333333333
65000	0.5966625	-1527.5774748409983	-28	0.3586666666666667
66000	0.6475456875	-1534.5887826003764	-28	0.36
67000	0.7002097865625	-1530.983301957326	-28	0.3426666666666667
68000	0.7547171290921875	-1514.6501113204588	-24	0.356
69000	0.7002097865625	-1520.2549128061137	-22	0.284
70000	0.7002097865625	-1527.2616345885901	-16	0.292
71000	0.6475456875	-1519.5398275460398	-10	0.352
72000	0.5966625	-1540.5838129730444	-6	0.31333333333333335
73000	0.5966625	-1533.3971662165065	-22	0.328
74000	0.5966625	-1544.0149346713868	-2	0.3333333333333333
75000	0.6475456875	-1534.7311398919176	10	0.33866666666666667
76000	0.6475456875	-1534.0955439420006	-8	0.33866666666666667
77000	0.5966625	-1540.2041667939104	0	0.304
78000	0.5966625	-1536.1151016899228	-10	0.30133333333333334
79000	0.6475456875	-1534.319788374388	-2	0.3293333333333333
80000	0.6475456875	-1532.0121490510155	-8	0.30666666666666664
81000	0.7002097865625	-1532.5389892582537	-12	0.3
82000	0.7002097865625	-1533.9342060939862	2	0.3333333333333333
83000	0.6475456875	-1534.697395134574	2	0.35333333333333333
84000	0.6475456875	-1539.9068188509664	-6	0.36533333333333334
85000	0.6475456875	-1541.046881280525	-16	0.332
86000	0.5966625	-1542.5157143474123	-6	0.34933333333333333
87000	0.6475456875	-1542.038697311188	-2	0.34933333333333333
88000	0.6475456875	-1540.0949078614278	8	0.356
89000	0.6475456875	-1543.6998599781004	-14	0.316
90000	0.6475456875	-1545.704090362877	0	0.31333333333333335
91000	0.7002097865625	-1537.1617552935093	6	0.30666666666666664
92000	0.7002097865625	-1534.6099567470435	14	0.316
93000	0.7002097865625	-1520.2948499061547	8	0.328
94000	0.7002097865625	-1524.7452215818616	16	0.3333333333333333
95000	0.7547171290921875	-1534.1365024889142	-2	0.37466666666666665
96000	0.7547171290921875	-1540.6222846042806	6	0.36133333333333334
97000	0.7002097865625	-1524.5480611320404	-18	0.29733333333333334
98000	0.7547171290921875	-1531.6478660757173	-22	0.29733333333333334
99000	0.7002097865625	-1536.1873848134333	-28	0.296
100000	0.6475456875	-1535.2333051529415	-26	0.34933333333333333
