Run	T	Energy	Magnetization
780000	2	-2940	-990
790000	2	-2976	-996
800000	1.8333333333333335	-2976	-996
810000	2	-2912	-984
820000	2	-2952	-992
830000	2	-2956	-992
840000	2	-2988	-998
850000	1.8333333333333335	-2988	-998
860000	1.8333333333333335	-2976	-996
870000	2	-2976	-996
880000	1.8333333333333335	-2988	-998
890000	1.8333333333333335	-2976	-996
900000	1.8333333333333335	-3000	-1000
910000	1.6666666666666667	-2988	-998
920000	1.8333333333333335	-2968	-994
930000	2	-2932	-988
940000	2	-2988	-998
950000	2	-2956	-992
960000	2	-2964	-994
970000	2	-3000	-1000
980000	1.8333333333333335	-2976	-996
990000	2	-2976	-996
1000000	2	-2964	-994
1010000	2	-3000	-1000
1020000	1.8333333333333335	-2964	-994
1030000	1.6666666666666667	-2988	-998
1040000	1.5	-2976	-996
1050000	1.6666666666666667	-2976	-996
1060000	1.8333333333333335	-2976	-996
1070000	1.6666666666666667	-2988	-998
1080000	1.5	-3000	-1000
1090000	1.3333333333333333	-3000	-1000
1100000	1.3333333333333333	-3000	-1000
1110000	1.1666666666666665	-3000	-1000
1120000	0.9999999999999999	-3000	-1000
1130000	1.1666666666666665	-3000	-1000
1140000	0.9999999999999999	-3000	-1000
1150000	1.3333333333333333	-3000	-1000
1160000	1.6666666666666667	-3000	-1000
1170000	1.5	-3000	-1000
1180000	1.3333333333333333	-3000	-1000
1190000	1.3333333333333333	-3000	-1000
1200000	1.5	-2952	-992
1210000	1.5	-2976	-996
1220000	1.5	-3000	-1000
1230000	1.5	-3000	-1000
1240000	1.5	-2976	-996
1250000	2	-3000	-1000
1260000	1.8333333333333335	-2988	-998
1270000	1.8333333333333335	-2976	-996
1280000	2	-2940	-990
1290000	2	-2976	-996
1300000	1.8333333333333335	-2976	-996
1310000	2	-2964	-994
1320000	2	-2988	-998
1330000	1.8333333333333335	-2988	-998
1340000	2	-2952	-992
1350000	2	-2964	-994
1360000	2	-2968	-994
1370000	2	-2988	-998
1380000	2	-2932	-988
1390000	2	-2928	-988
1400000	2	-2964	-994
1410000	1.8333333333333335	-3000	-1000
1420000	1.8333333333333335	-2976	-996
1430000	1.6666666666666667	-3000	-1000
1440000	1.5	-3000	-1000
1450000	1.3333333333333333	-3000	-1000
1460000	1.5	-3000	-1000
1470000	1.6666666666666667	-2976	-996
1480000	1.6666666666666667	-3000	-1000
1490000	1.5	-2988	-998
1500000	1.3333333333333333	-3000	-1000
1510000	1.1666666666666665	-3000	-1000
1520000	1.6666666666666667	-3000	-1000
1530000	1.8333333333333335	-2976	-996
1540000	1.8333333333333335	-2940	-990
1550000	2	-2988	-998
1560000	1.8333333333333335	-2968	-994
1570000	1.8333333333333335	-2964	-994
1580000	1.6666666666666667	-2988	-998
1590000	1.8333333333333335	-2988	-998
1600000	1.8333333333333335	-2964	-994
1610000	1.8333333333333335	-2976	-996
1620000	1.8333333333333335	-2952	-992
1630000	2	-2976	-996
1640000	1.8333333333333335	-2976	-996
1650000	1.8333333333333335	-2976	-996
1660000	1.8333333333333335	-2976	-996
1670000	2	-2928	-988
1680000	2	-2988	-998
1690000	2	-2940	-990
1700000	2	-2964	-994
1710000	2	-2940	-990
1720000	2	-2940	-990
1730000	2	-2988	-998
1740000	2	-2956	-992
1750000	2	-3000	-1000
1760000	1.8333333333333335	-2952	-992
1770000	2	-2988	-998
1780000	1.8333333333333335	-3000	-1000
1790000	2	-2940	-990
1800000	2	-2964	-994
1810000	2	-2976	-996
1820000	2	-2988	-998
1830000	1.8333333333333335	-2976	-996
1840000	1.8333333333333335	-3000	-1000
1850000	1.8333333333333335	-3000	-1000
1860000	1.8333333333333335	-3000	-1000
1870000	1.6666666666666667	-3000	-1000
1880000	1.6666666666666667	-2988	-998
1890000	2	-2976	-996
1900000	2	-2988	-998
1910000	2	-2952	-992
1920000	2	-2904	-984
1930000	2	-2988	-998
1940000	1.8333333333333335	-2968	-994
1950000	1.6666666666666667	-3000	-1000
1960000	1.6666666666666667	-2988	-998
1970000	1.8333333333333335	-3000	-1000
1980000	1.6666666666666667	-2976	-996
1990000	1.6666666666666667	-3000	-1000
2000000	1.6666666666666667	-2988	-998
2010000	1.6666666666666667	-2988	-998
2020000	1.5	-3000	-1000
2030000	1.3333333333333333	-2988	-998
2040000	1.5	-3000	-1000
2050000	1.5	-2988	-998
2060000	1.5	-3000	-1000
2070000	1.3333333333333333	-3000	-1000
2080000	1.1666666666666665	-3000	-1000
2090000	1.1666666666666665	-3000	-1000
2100000	0.9999999999999999	-3000	-1000
2110000	0.8333333333333333	-3000	-1000
2120000	0.9999999999999999	-3000	-1000
2130000	0.9999999999999999	-3000	-1000
2140000	0.8333333333333333	-3000	-1000
2150000	0.6666666666666666	-3000	-1000
2160000	0.5	-3000	-1000
2170000	0.5	-3000	-1000
2180000	0.5	-3000	-1000
2190000	0.5	-3000	-1000
2200000	0.5	-3000	-1000
2210000	0.5	-3000	-1000
2220000	0.5	-3000	-1000
2230000	0.6666666666666666	-3000	-1000
2240000	0.5	-3000	-1000
2250000	0.9999999999999999	-3000	-1000
2260000	0.8333333333333333	-3000	-1000
2270000	1.1666666666666665	-3000	-1000
2280000	1.1666666666666665	-3000	-1000
2290000	0.9999999999999999	-3000	-1000
2300000	0.8333333333333333	-3000	-1000
2310000	0.6666666666666666	-3000	-1000
2320000	1.1666666666666665	-3000	-1000
2330000	0.9999999999999999	-3000	-1000
2340000	0.8333333333333333	-3000	-1000
2350000	0.6666666666666666	-3000	-1000
2360000	0.5	-3000	-1000
2370000	0.5	-3000	-1000
2380000	0.6666666666666666	-3000	-1000
2390000	0.6666666666666666	-3000	-1000
2400000	0.8333333333333333	-3000	-1000
2410000	0.6666666666666666	-3000	-1000
2420000	0.8333333333333333	-3000	-1000
2430000	0.6666666666666666	-3000	-1000
2440000	0.5	-3000	-1000
2450000	1.1666666666666665	-3000	-1000
2460000	0.9999999999999999	-3000	-1000
2470000	0.8333333333333333	-3000	-1000
2480000	0.8333333333333333	-3000	-1000
2490000	0.6666666666666666	-3000	-1000
2500000	0.5	-3000	-1000
2510000	0.9999999999999999	-3000	-1000
2520000	0.8333333333333333	-3000	-1000
2530000	0.6666666666666666	-3000	-1000
2540000	0.5	-3000	-1000
2550000	0.6666666666666666	-3000	-1000
2560000	0.5	-3000	-1000
2570000	0.5	-3000	-1000
2580000	1.1666666666666665	-3000	-1000
2590000	1.1666666666666665	-3000	-1000
2600000	0.9999999999999999	-3000	-1000
2610000	1.1666666666666665	-3000	-1000
2620000	0.9999999999999999	-3000	-1000
2630000	0.8333333333333333	-3000	-1000
2640000	1.3333333333333333	-3000	-1000
2650000	1.3333333333333333	-3000	-1000
2660000	1.5	-3000	-1000
2670000	1.5	-3000	-1000
2680000	1.3333333333333333	-3000	-1000
2690000	1.1666666666666665	-3000	-1000
2700000	0.9999999999999999	-3000	-1000
2710000	1.1666666666666665	-3000	-1000
2720000	0.9999999999999999	-3000	-1000
2730000	0.9999999999999999	-3000	-1000
2740000	0.8333333333333333	-3000	-1000
2750000	0.9999999999999999	-3000	-1000
2760000	1.1666666666666665	-3000	-1000
2770000	0.9999999999999999	-3000	-1000
2780000	0.8333333333333333	-3000	-1000
2790000	0.9999999999999999	-3000	-1000
2800000	0.8333333333333333	-3000	-1000
2810000	0.8333333333333333	-3000	-1000
2820000	0.9999999999999999	-3000	-1000
2830000	0.8333333333333333	-3000	-1000
2840000	0.6666666666666666	-3000	-1000
2850000	0.5	-3000	-1000
2860000	0.5	-3000	-1000
2870000	0.5	-3000	-1000
2880000	0.5	-3000	-1000
2890000	0.5	-3000	-1000
2900000	0.5	-3000	-1000
2910000	0.5	-3000	-1000
2920000	0.8333333333333333	-3000	-1000
2930000	0.6666666666666666	-3000	-1000
2940000	0.8333333333333333	-3000	-1000
2950000	0.8333333333333333	-3000	-1000
2960000	0.6666666666666666	-3000	-1000
2970000	0.6666666666666666	-3000	-1000
2980000	0.9999999999999999	-3000	-1000
2990000	0.8333333333333333	-3000	-1000
3000000	0.8333333333333333	-3000	-1000
3010000	0.6666666666666666	-3000	-1000
3020000	0.9999999999999999	-3000	-1000
3030000	0.8333333333333333	-3000	-1000
3040000	0.9999999999999999	-3000	-1000
3050000	0.9999999999999999	-3000	-1000
3060000	0.8333333333333333	-3000	-1000
3070000	0.6666666666666666	-3000	-1000
3080000	1.1666666666666665	-3000	-1000
3090000	0.9999999999999999	-3000	-1000
3100000	0.9999999999999999	-3000	-1000
3110000	1.1666666666666665	-3000	-1000
3120000	1.6666666666666667	-3000	-1000
3130000	1.8333333333333335	-2988	-998
3140000	1.8333333333333335	-3000	-1000
3150000	1.6666666666666667	-2988	-998
3160000	1.6666666666666667	-2988	-998
3170000	1.8333333333333335	-2976	-996
3180000	1.6666666666666667	-2976	-996
3190000	1.6666666666666667	-2976	-996
3200000	2	-2964	-994
3210000	1.8333333333333335	-2964	-992
3220000	1.8333333333333335	-3000	-1000
3230000	1.6666666666666667	-2988	-998
3240000	1.8333333333333335	-2952	-992
3250000	2	-2964	-994
3260000	1.8333333333333335	-2952	-992
3270000	2	-2952	-992
3280000	2	-2964	-994
3290000	2	-2976	-996
3300000	2	-2964	-994
3310000	1.8333333333333335	-3000	-1000
3320000	1.8333333333333335	-2988	-998
3330000	1.6666666666666667	-2988	-998
