Run	T	Energy	Magnetization
10000	1.5	-2408	590
20000	1.3333333333333333	-2696	802
30000	1.5	-2988	998
40000	1.3333333333333333	-3000	1000
50000	1.1666666666666665	-3000	1000
60000	1.1666666666666665	-3000	1000
70000	1.1666666666666665	-3000	1000
80000	1.1666666666666665	-3000	1000
90000	1.1666666666666665	-3000	1000
100000	1.3333333333333333	-3000	1000
110000	1.3333333333333333	-3000	1000
120000	1.5	-3000	1000
130000	1.3333333333333333	-3000	1000
140000	1.3333333333333333	-3000	1000
150000	1.5	-2988	998
160000	1.3333333333333333	-3000	1000
170000	1.1666666666666665	-3000	1000
180000	1.6666666666666667	-2964	994
190000	1.8333333333333335	-3000	1000
200000	2	-2976	996
210000	2	-2976	996
220000	1.8333333333333335	-2988	998
230000	1.6666666666666667	-3000	1000
240000	1.5	-3000	1000
250000	1.3333333333333333	-3000	1000
260000	1.5	-2988	998
270000	1.8333333333333335	-3000	1000
280000	1.8333333333333335	-2964	994
290000	1.8333333333333335	-2976	996
300000	1.8333333333333335	-3000	1000
310000	1.6666666666666667	-3000	1000
320000	1.5	-3000	1000
330000	1.3333333333333333	-3000	1000
340000	1.3333333333333333	-3000	1000
350000	1.1666666666666665	-3000	1000
360000	0.9999999999999999	-3000	1000
370000	0.9999999999999999	-3000	1000
380000	0.8333333333333333	-3000	1000
390000	0.8333333333333333	-3000	1000
