Run	T	Energy	Magnetization
10000	1.666666666666667	-6772	-14
20000	1.7777777777777781	-9444	-30
30000	1.7777777777777781	-10796	-44
40000	1.7777777777777781	-11728	22
50000	1.7777777777777781	-12452	10
60000	1.666666666666667	-13124	-30
70000	1.666666666666667	-13624	-54
80000	1.666666666666667	-14128	-86
90000	1.666666666666667	-14536	-40
100000	1.666666666666667	-14600	-124
110000	1.666666666666667	-14772	-24
120000	1.666666666666667	-15064	-66
130000	1.666666666666667	-15148	-4
140000	1.666666666666667	-15208	104
150000	1.666666666666667	-15308	100
160000	1.666666666666667	-15592	104
170000	1.666666666666667	-15576	188
180000	1.666666666666667	-15684	100
190000	1.666666666666667	-15636	100
200000	1.666666666666667	-15664	166
210000	1.666666666666667	-15736	244
220000	1.666666666666667	-15788	296
230000	1.666666666666667	-16032	270
240000	1.666666666666667	-15992	218
250000	1.666666666666667	-16108	174
260000	1.666666666666667	-16120	240
270000	1.666666666666667	-16104	216
280000	1.666666666666667	-16192	182
290000	1.666666666666667	-16364	166
300000	1.666666666666667	-16496	102
310000	1.666666666666667	-16508	146
320000	1.666666666666667	-16336	124
330000	1.666666666666667	-16424	280
340000	1.666666666666667	-16284	314
350000	1.666666666666667	-16348	314
360000	1.666666666666667	-16392	278
370000	1.666666666666667	-16424	260
380000	1.666666666666667	-16440	172
390000	1.666666666666667	-16292	116
400000	1.666666666666667	-16408	222
410000	1.666666666666667	-16380	188
420000	1.666666666666667	-16500	228
430000	1.666666666666667	-16572	226
440000	1.666666666666667	-16508	340
450000	1.666666666666667	-16536	242
460000	1.666666666666667	-16532	210
470000	1.666666666666667	-16644	232
480000	1.666666666666667	-16636	150
490000	1.666666666666667	-16692	132
500000	1.666666666666667	-16680	34
510000	1.666666666666667	-16596	-10
520000	1.666666666666667	-16616	-48
530000	1.666666666666667	-16588	2
540000	1.666666666666667	-16600	-2
550000	1.666666666666667	-16816	10
560000	1.666666666666667	-16784	-2
570000	1.666666666666667	-16720	40
580000	1.666666666666667	-16704	56
590000	1.666666666666667	-16764	16
600000	1.666666666666667	-16896	-6
610000	1.666666666666667	-16844	8
620000	1.666666666666667	-16884	38
630000	1.666666666666667	-17036	-44
640000	1.666666666666667	-17016	16
650000	1.666666666666667	-17152	128
660000	1.666666666666667	-16984	2
670000	1.666666666666667	-16988	62
680000	1.666666666666667	-17100	-26
690000	1.666666666666667	-17060	-2
700000	1.666666666666667	-16940	50
710000	1.666666666666667	-17092	36
720000	1.666666666666667	-17056	-12
730000	1.666666666666667	-17124	-36
740000	1.666666666666667	-17124	-60
750000	1.666666666666667	-17088	-132
760000	1.666666666666667	-17096	-130
770000	1.666666666666667	-17120	-184
780000	1.666666666666667	-16972	-222
790000	1.666666666666667	-16920	-200
800000	1.7777777777777781	-16736	-160
810000	1.7777777777777781	-16792	-122
820000	1.7777777777777781	-16740	-150
830000	1.7777777777777781	-16764	-76
840000	1.7777777777777781	-16852	8
850000	1.7777777777777781	-16844	18
860000	1.7777777777777781	-16812	-32
870000	1.7777777777777781	-16928	36
880000	1.7777777777777781	-16888	78
890000	1.7777777777777781	-17036	-40
900000	1.7777777777777781	-16932	-64
910000	1.7777777777777781	-16992	-4
920000	1.7777777777777781	-17024	-44
930000	1.7777777777777781	-16980	-84
940000	1.7777777777777781	-17024	-18
950000	1.7777777777777781	-16944	-52
960000	1.7777777777777781	-16964	52
970000	1.7777777777777781	-16948	82
980000	1.7777777777777781	-16868	-16
990000	1.7777777777777781	-16644	94
1000000	1.7777777777777781	-16604	172
1010000	1.7777777777777781	-16664	266
1020000	1.7777777777777781	-16844	166
1030000	1.7777777777777781	-16880	128
1040000	1.7777777777777781	-16792	62
1050000	1.7777777777777781	-16752	30
1060000	1.7777777777777781	-17016	-14
1070000	1.7777777777777781	-16988	106
1080000	1.7777777777777781	-16976	190
1090000	1.7777777777777781	-16956	208
1100000	1.7777777777777781	-16840	296
1110000	1.7777777777777781	-16952	306
1120000	1.7777777777777781	-16960	346
1130000	1.7777777777777781	-16808	294
1140000	1.7777777777777781	-16784	344
1150000	1.7777777777777781	-16944	380
1160000	1.7777777777777781	-17020	562
1170000	1.7777777777777781	-16992	484
1180000	1.7777777777777781	-16980	350
1190000	1.7777777777777781	-16960	350
1200000	1.7777777777777781	-17084	308
1210000	1.7777777777777781	-17092	404
1220000	1.7777777777777781	-17172	402
1230000	1.7777777777777781	-17064	482
1240000	1.7777777777777781	-16824	418
1250000	1.7777777777777781	-16908	444
1260000	1.7777777777777781	-16948	318
1270000	1.7777777777777781	-17008	358
1280000	1.7777777777777781	-16948	346
1290000	1.7777777777777781	-17032	394
1300000	1.7777777777777781	-16896	412
1310000	1.7777777777777781	-16808	436
1320000	1.7777777777777781	-16828	384
1330000	1.7777777777777781	-16872	400
1340000	1.7777777777777781	-17136	376
1350000	1.7777777777777781	-17120	324
1360000	1.7777777777777781	-17024	364
1370000	1.7777777777777781	-17012	382
1380000	1.7777777777777781	-16976	410
1390000	1.7777777777777781	-17056	360
1400000	1.7777777777777781	-17088	214
1410000	1.7777777777777781	-17084	242
1420000	1.7777777777777781	-17248	182
1430000	1.7777777777777781	-17224	258
1440000	1.7777777777777781	-17228	258
1450000	1.7777777777777781	-17172	282
1460000	1.7777777777777781	-17060	266
1470000	1.7777777777777781	-17060	286
1480000	1.7777777777777781	-17164	374
1490000	1.7777777777777781	-17060	424
1500000	1.7777777777777781	-17184	322
1510000	1.7777777777777781	-17040	344
1520000	1.7777777777777781	-17120	294
1530000	1.7777777777777781	-17136	310
1540000	1.7777777777777781	-17052	242
1550000	1.7777777777777781	-17172	322
1560000	1.7777777777777781	-17132	380
1570000	1.7777777777777781	-17148	400
1580000	1.7777777777777781	-17100	338
1590000	1.7777777777777781	-17104	388
1600000	1.7777777777777781	-17168	376
1610000	1.7777777777777781	-17204	476
1620000	1.7777777777777781	-17172	462
1630000	1.7777777777777781	-17228	510
1640000	1.7777777777777781	-17292	480
1650000	1.7777777777777781	-17380	520
1660000	1.666666666666667	-17588	522
1670000	1.666666666666667	-17740	480
1680000	1.666666666666667	-17680	502
