Run	T	Energy	Magnetization
10000	2	-7968	32
20000	2	-11072	-50
30000	2	-13260	-76
40000	2	-14560	-30
50000	2	-15412	-72
60000	2	-16320	-24
70000	2	-16864	-54
80000	2	-17468	-54
90000	2	-17992	30
100000	2	-18160	38
110000	1.8333333333333335	-18648	16
120000	1.6666666666666667	-19092	34
130000	1.5	-19628	32
140000	1.5	-19908	-20
150000	1.3333333333333333	-20212	-86
160000	1.1666666666666665	-20404	-112
170000	0.9999999999999999	-20580	-110
180000	0.9999999999999999	-20700	-86
190000	0.9999999999999999	-20800	-130
200000	0.9999999999999999	-20868	-124
210000	0.8333333333333333	-20988	-130
220000	0.6666666666666666	-21056	-142
230000	0.6666666666666666	-21112	-128
240000	0.6666666666666666	-21136	-166
250000	0.6666666666666666	-21152	-180
260000	0.6666666666666666	-21180	-164
270000	0.6666666666666666	-21220	-122
280000	0.6666666666666666	-21260	-142
290000	0.8333333333333333	-21264	-120
300000	0.8333333333333333	-21280	-90
310000	0.8333333333333333	-21308	-88
320000	0.8333333333333333	-21304	-94
330000	0.8333333333333333	-21332	-110
340000	0.8333333333333333	-21328	-146
350000	0.8333333333333333	-21352	-154
360000	0.8333333333333333	-21368	-154
370000	0.8333333333333333	-21380	-170
380000	0.9999999999999999	-21396	-174
390000	0.9999999999999999	-21408	-164
400000	0.9999999999999999	-21392	-186
410000	0.9999999999999999	-21380	-218
420000	1.1666666666666665	-21312	-226
430000	1.1666666666666665	-21336	-252
440000	1.1666666666666665	-21368	-286
450000	1.1666666666666665	-21396	-300
460000	1.1666666666666665	-21396	-356
470000	1.1666666666666665	-21384	-340
480000	1.1666666666666665	-21368	-336
490000	1.1666666666666665	-21384	-330
500000	1.1666666666666665	-21400	-364
510000	1.1666666666666665	-21440	-362
520000	1.3333333333333333	-21412	-406
530000	1.3333333333333333	-21352	-486
540000	1.3333333333333333	-21420	-538
550000	1.3333333333333333	-21420	-510
560000	1.3333333333333333	-21436	-584
570000	1.3333333333333333	-21404	-582
580000	1.3333333333333333	-21396	-626
590000	1.5	-21340	-674
600000	1.5	-21324	-682
610000	1.5	-21368	-718
620000	1.5	-21324	-756
630000	1.5	-21396	-736
640000	1.5	-21388	-754
650000	1.5	-21392	-790
660000	1.5	-21440	-792
670000	1.5	-21492	-756
680000	1.5	-21512	-778
690000	1.5	-21508	-780
700000	1.5	-21528	-760
710000	1.5	-21564	-774
720000	1.5	-21532	-766
730000	1.5	-21500	-746
740000	1.5	-21528	-726
750000	1.5	-21512	-790
760000	1.5	-21548	-770
770000	1.5	-21572	-776
780000	1.5	-21592	-794
790000	1.5	-21536	-760
800000	1.5	-21608	-754
810000	1.5	-21588	-710
820000	1.6666666666666667	-21512	-776
830000	1.6666666666666667	-21524	-798
840000	1.6666666666666667	-21420	-788
850000	1.6666666666666667	-21520	-776
860000	1.6666666666666667	-21492	-760
870000	1.6666666666666667	-21568	-742
880000	1.6666666666666667	-21496	-760
890000	1.6666666666666667	-21568	-756
900000	1.6666666666666667	-21488	-760
910000	1.6666666666666667	-21452	-774
920000	1.6666666666666667	-21500	-804
930000	1.6666666666666667	-21484	-726
940000	1.6666666666666667	-21568	-730
950000	1.6666666666666667	-21536	-746
960000	1.6666666666666667	-21560	-778
970000	1.6666666666666667	-21536	-766
980000	1.6666666666666667	-21420	-824
990000	1.6666666666666667	-21524	-826
1000000	1.8333333333333335	-21436	-762
1010000	1.8333333333333335	-21456	-738
1020000	1.8333333333333335	-21444	-754
1030000	1.8333333333333335	-21312	-786
1040000	1.8333333333333335	-21452	-794
1050000	1.8333333333333335	-21336	-796
1060000	1.8333333333333335	-21320	-824
1070000	1.8333333333333335	-21320	-806
1080000	1.8333333333333335	-21464	-802
1090000	1.8333333333333335	-21364	-832
1100000	1.8333333333333335	-21396	-882
1110000	1.8333333333333335	-21448	-870
1120000	1.8333333333333335	-21352	-844
1130000	1.8333333333333335	-21352	-912
1140000	1.8333333333333335	-21284	-900
1150000	1.8333333333333335	-21400	-866
1160000	1.8333333333333335	-21424	-916
1170000	1.8333333333333335	-21400	-874
1180000	1.8333333333333335	-21476	-872
1190000	1.8333333333333335	-21392	-870
1200000	1.8333333333333335	-21356	-898
1210000	2	-21200	-902
1220000	2	-21176	-872
1230000	2	-21176	-912
1240000	2	-21292	-892
1250000	2	-21200	-832
1260000	2	-21224	-784
1270000	2	-21260	-760
1280000	2	-21240	-800
1290000	2	-21336	-812
1300000	2	-21288	-778
1310000	2	-21252	-796
1320000	2	-21156	-834
1330000	2	-21252	-752
1340000	2	-21200	-732
1350000	2	-21312	-742
1360000	2	-21312	-712
1370000	2	-21264	-746
1380000	2	-21408	-738
1390000	2	-21352	-768
1400000	2	-21328	-742
1410000	2	-21316	-798
1420000	2	-21348	-786
1430000	2	-21524	-726
1440000	2	-21500	-706
1450000	2	-21420	-610
1460000	2	-21472	-626
1470000	2	-21604	-636
1480000	2	-21524	-646
1490000	2	-21540	-630
1500000	2	-21600	-586
1510000	2	-21544	-550
1520000	2	-21476	-546
1530000	2	-21452	-472
1540000	2	-21516	-500
1550000	2	-21508	-492
1560000	2	-21508	-490
1570000	2	-21476	-506
1580000	2	-21692	-468
1590000	2	-21712	-416
1600000	2	-21644	-432
1610000	2	-21660	-444
1620000	2	-21608	-440
1630000	2	-21700	-414
1640000	2	-21592	-432
1650000	2	-21612	-428
1660000	2	-21676	-414
1670000	2	-21616	-426
1680000	2	-21624	-420
1690000	2	-21620	-390
1700000	2	-21712	-410
1710000	2	-21680	-452
1720000	2	-21616	-458
1730000	2	-21636	-504
1740000	2	-21748	-428
1750000	2	-21696	-442
1760000	2	-21664	-400
1770000	2	-21596	-384
1780000	2	-21768	-390
1790000	2	-21748	-370
1800000	2	-21704	-382
1810000	2	-21660	-412
1820000	2	-21684	-392
1830000	2	-21676	-426
1840000	2	-21692	-466
1850000	2	-21644	-458
1860000	2	-21744	-490
1870000	2	-21788	-496
1880000	2	-21764	-482
1890000	2	-21800	-472
1900000	2	-21800	-480
1910000	2	-21836	-464
1920000	2	-21804	-490
1930000	2	-21676	-494
1940000	2	-21708	-512
1950000	2	-21664	-478
1960000	2	-21612	-430
1970000	2	-21764	-478
1980000	2	-21868	-464
1990000	2	-21764	-468
2000000	2	-21744	-482
2010000	2	-21660	-474
2020000	2	-21580	-450
2030000	2	-21600	-454
2040000	2	-21680	-474
2050000	2	-21692	-416
2060000	2	-21752	-364
2070000	2	-21664	-384
2080000	2	-21880	-390
2090000	1.8333333333333335	-21924	-398
2100000	2	-21828	-386
2110000	2	-21760	-414
2120000	2	-21700	-370
2130000	2	-21816	-376
2140000	2	-21704	-358
2150000	2	-21644	-396
2160000	2	-21640	-450
2170000	2	-21632	-440
2180000	2	-21576	-484
2190000	2	-21688	-454
2200000	2	-21616	-414
2210000	2	-21680	-410
2220000	2	-21696	-388
2230000	2	-21720	-386
2240000	2	-21776	-366
2250000	2	-21648	-364
2260000	2	-21464	-390
2270000	2	-21524	-394
2280000	2	-21692	-394
2290000	2	-21544	-420
2300000	2	-21632	-390
2310000	2	-21700	-338
2320000	2	-21692	-332
2330000	2	-21600	-294
2340000	2	-21592	-322
2350000	2	-21708	-324
2360000	2	-21608	-330
2370000	2	-21760	-356
2380000	2	-21696	-328
2390000	2	-21764	-372
2400000	2	-21608	-386
2410000	2	-21632	-374
2420000	2	-21604	-404
2430000	2	-21652	-422
2440000	2	-21616	-490
2450000	2	-21732	-512
2460000	2	-21568	-508
2470000	2	-21676	-496
2480000	2	-21740	-482
2490000	2	-21692	-538
2500000	2	-21536	-544
2510000	2	-21772	-546
2520000	2	-21696	-564
2530000	2	-21732	-606
2540000	2	-21632	-610
2550000	2	-21692	-602
2560000	2	-21680	-602
2570000	2	-21724	-610
2580000	2	-21592	-596
2590000	2	-21628	-552
2600000	2	-21692	-584
2610000	2	-21656	-628
2620000	2	-21788	-628
2630000	2	-21580	-650
2640000	2	-21652	-644
2650000	2	-21756	-664
2660000	2	-21708	-666
2670000	2	-21844	-714
2680000	2	-21772	-710
2690000	2	-21784	-692
2700000	2	-21680	-708
2710000	2	-21636	-696
2720000	2	-21656	-694
2730000	2	-21660	-700
2740000	2	-21696	-704
2750000	2	-21760	-718
2760000	2	-21684	-714
2770000	2	-21772	-750
2780000	2	-21624	-780
2790000	2	-21712	-782
2800000	2	-21692	-774
2810000	2	-21692	-768
2820000	2	-21552	-814
2830000	2	-21484	-808
2840000	2	-21652	-786
2850000	2	-21668	-756
2860000	2	-21748	-798
2870000	2	-21824	-794
2880000	2	-21608	-826
2890000	2	-21464	-810
2900000	2	-21440	-812
2910000	2	-21600	-786
2920000	2	-21692	-764
2930000	2	-21844	-770
2940000	2	-21920	-786
2950000	2	-22000	-802
2960000	1.8333333333333335	-22000	-792
2970000	1.8333333333333335	-22076	-780
2980000	1.8333333333333335	-22040	-782
2990000	1.8333333333333335	-22092	-776
3000000	1.8333333333333335	-22044	-816
3010000	1.8333333333333335	-22056	-796
3020000	1.8333333333333335	-22060	-802
3030000	1.8333333333333335	-22048	-792
3040000	1.8333333333333335	-22020	-808
3050000	1.8333333333333335	-22032	-814
3060000	1.8333333333333335	-21972	-816
3070000	1.8333333333333335	-22028	-820
3080000	1.8333333333333335	-22076	-818
3090000	1.8333333333333335	-22080	-800
3100000	1.8333333333333335	-22008	-794
3110000	1.8333333333333335	-22040	-798
3120000	1.8333333333333335	-21988	-780
3130000	1.8333333333333335	-21956	-764
3140000	1.8333333333333335	-21944	-812
3150000	1.8333333333333335	-21932	-822
3160000	1.8333333333333335	-22060	-776
3170000	1.8333333333333335	-22024	-798
3180000	1.8333333333333335	-21900	-786
3190000	1.8333333333333335	-21948	-780
3200000	1.8333333333333335	-21996	-758
3210000	1.8333333333333335	-22060	-776
3220000	1.8333333333333335	-21984	-784
3230000	1.8333333333333335	-22040	-790
3240000	1.8333333333333335	-21960	-802
3250000	1.8333333333333335	-22000	-798
3260000	1.8333333333333335	-22060	-786
3270000	1.8333333333333335	-22104	-778
3280000	1.8333333333333335	-22108	-780
3290000	1.8333333333333335	-22120	-800
3300000	1.8333333333333335	-22076	-812
3310000	1.8333333333333335	-22060	-800
3320000	1.8333333333333335	-22068	-782
3330000	1.8333333333333335	-21980	-768
3340000	1.8333333333333335	-21920	-776
3350000	1.8333333333333335	-21928	-762
3360000	1.8333333333333335	-22044	-778
3370000	1.8333333333333335	-22032	-770
3380000	1.8333333333333335	-21876	-824
3390000	1.8333333333333335	-21876	-838
3400000	2	-21820	-822
3410000	2	-21820	-794
3420000	2	-21784	-792
3430000	2	-21856	-768
3440000	2	-21808	-778
3450000	2	-21848	-762
3460000	2	-21716	-770
3470000	2	-21808	-746
3480000	2	-21816	-756
3490000	2	-21792	-794
3500000	2	-21796	-802
3510000	2	-21788	-770
3520000	2	-21824	-802
3530000	2	-21684	-820
3540000	2	-21688	-798
3550000	2	-21612	-752
3560000	2	-21648	-742
3570000	2	-21796	-750
3580000	2	-21732	-740
3590000	2	-21828	-782
3600000	2	-21828	-764
3610000	2	-21692	-776
3620000	2	-21748	-772
3630000	2	-21824	-766
3640000	2	-21828	-762
3650000	2	-21912	-794
3660000	2	-21828	-814
3670000	2	-21756	-808
3680000	2	-21772	-804
3690000	2	-21876	-816
3700000	2	-21828	-804
3710000	2	-21784	-772
3720000	2	-21796	-770
3730000	2	-21856	-814
3740000	2	-21900	-822
3750000	2	-21968	-836
3760000	2	-21752	-802
3770000	2	-21884	-788
3780000	2	-21744	-770
3790000	2	-21728	-792
3800000	2	-21816	-800
3810000	2	-21700	-788
3820000	2	-21808	-796
3830000	2	-21784	-832
3840000	2	-21788	-798
3850000	2	-21836	-846
3860000	2	-21828	-812
3870000	2	-21800	-812
3880000	2	-21828	-798
3890000	2	-21808	-816
3900000	2	-21828	-840
3910000	2	-21856	-854
3920000	2	-21832	-862
3930000	2	-21860	-822
3940000	2	-21824	-874
3950000	2	-21884	-828
3960000	2	-21680	-818
3970000	2	-21688	-756
3980000	2	-21788	-722
3990000	2	-21832	-720
4000000	2	-21904	-754
4010000	2	-21828	-744
4020000	2	-21844	-738
4030000	2	-21700	-742
4040000	2	-21784	-770
4050000	2	-21912	-792
4060000	2	-21708	-772
4070000	2	-21824	-770
4080000	2	-21760	-740
4090000	2	-21704	-706
4100000	2	-21620	-696
4110000	2	-21716	-758
4120000	2	-21872	-762
4130000	2	-21864	-752
4140000	2	-21936	-824
4150000	2	-21960	-832
4160000	2	-21848	-832
4170000	2	-21844	-834
4180000	2	-21712	-802
4190000	2	-21788	-810
4200000	2	-21784	-802
4210000	2	-21820	-796
4220000	2	-21676	-788
4230000	2	-21728	-824
4240000	2	-21796	-842
